Time (minutes),Intensity at 450 nm
2.5,0.000279626
5,0.000188421
7.5,0.000122662
10,6.21E-05
12.5,7.75E-05
15,7.79E-05
17.5,7.80E-05
20,7.86E-05
22.5,7.90E-05
25,8.07E-05
27.5,8.16E-05
30,8.51E-05
32.5,8.74E-05
35,9.26E-05
37.5,9.64E-05
40,9.80E-05
42.5,9.55E-05
45,9.47E-05
47.5,9.56E-05
50,9.62E-05
52.5,9.58E-05
55,9.75E-05
57.5,9.97E-05
60,0.000101746
62.5,0.000101884
65,0.000102974
67.5,0.000103642
70,0.000104506
72.5,0.000104596
75,0.000105371
77.5,0.000105916
80,0.000106903
82.5,0.000107401
85,0.000108052
87.5,0.000108234
90,0.000108221
92.5,0.000107993
95,0.000107445
97.5,0.000107094
100,0.000106312
102.5,0.000105298
105,0.000106875
107.5,0.000109799
110,0.000111877
112.5,0.000111345
115,0.000111975
117.5,0.000112766
120,0.000113232
122.5,0.000112915
125,0.000113032
127.5,0.000113383
130,0.000113438
132.5,0.000113182
135,0.000112997
137.5,0.000113222
140,0.000112242
142.5,0.000110874
145,0.000110071
147.5,0.000110061
150,0.000112009
152.5,0.000114469
155,0.000116506
157.5,0.00011627
160,0.000116963
162.5,0.000117523
165,0.000118113
167.5,0.000117682
170,0.000119814
172.5,0.000122826
175,0.000123998
177.5,0.000122322
180,0.000121493
182.5,0.000121679
185,0.000121762
187.5,0.000121198
190,0.000124002
192.5,0.000127394
195,0.000131893
197.5,0.000133275
200,0.000136862
202.5,0.000138696
205,0.000141651
207.5,0.000142211
210,0.000145797
212.5,0.000148619
215,0.000152459
217.5,0.00015326
220,0.000156942
222.5,0.000159833
225,0.000162095
227.5,0.000161401
230,0.000161758
232.5,0.000161167
235,0.000166063
237.5,0.000171999
240,0.000178006
242.5,0.000178931
245,0.000180631
247.5,0.000180403
250,0.000181246
252.5,0.000182101
255,0.000182677
257.5,0.000182427
260,0.000182427
262.5,0.000183117
265,0.000180779
267.5,0.000177857
270,0.000173537
272.5,0.000170474
275,0.000172271
277.5,0.000178134
280,0.000181432
282.5,0.000180031
285,0.000179078
287.5,0.000178482
290,0.000177769
292.5,0.000177563
295,0.00017768
297.5,0.000178238
300,0.000178203
302.5,0.000177654
305,0.000177311
307.5,0.000177296
310,0.000177646
312.5,0.000178094
315,0.000178684
317.5,0.000178997
320,0.000178942
322.5,0.000178497
325,0.000178126
327.5,0.000178037
330,0.000178133
332.5,0.000178367
335,0.000178703
337.5,0.000178986
340,0.000178726
342.5,0.000177984
345,0.000178005
347.5,0.000178866
350,0.000178763
352.5,0.000177951
355,0.000177149
357.5,0.000177056
360,0.000176233
362.5,0.000175515
365,0.000174898
367.5,0.000175191
370,0.000174217
372.5,0.000172948
375,0.000171954
377.5,0.000172133
380,0.000171831
382.5,0.000171662
385,0.000170907
387.5,0.000170369
390,0.00016923
392.5,0.000168376
395,0.000168253
397.5,0.000169253
400,0.000169109
402.5,0.000168021
405,0.000167678
407.5,0.000167222
410,0.000171597
412.5,0.000177353
415,0.000181289
417.5,0.000179974
420,0.000180139
422.5,0.000180716
425,0.000180661
427.5,0.00017997
430,0.00017995
432.5,0.000180404
435,0.000181289
437.5,0.000182101
440,0.000182067
442.5,0.000181053
445,0.000180779
447.5,0.000181382
450,0.000181505
452.5,0.000181225
455,0.000180909
457.5,0.000180731
460,0.000180655
462.5,0.000180665
465,0.000181227
467.5,0.000182066
470,0.000181935
472.5,0.000180938
475,0.000180273
477.5,0.000180457
480,0.000180073
482.5,0.000179619
485,0.000179187
487.5,0.000179215
490,0.000178852
492.5,0.000178643
495,0.000177738
497.5,0.00017699
500,0.000176051
502.5,0.00017571
505,0.000175648
507.5,0.000176383
510,0.000175396
512.5,0.000173584
515,0.000172357
517.5,0.000172749
520,0.000172461
522.5,0.000172202
525,0.000171263
527.5,0.000170528
530,0.000169465
532.5,0.000168907
535,0.000168996
537.5,0.000168902
540,0.000173078
542.5,0.000178138
545,0.000181848
547.5,0.000180874
550,0.000181375
552.5,0.000182091
555,0.000182249
557.5,0.000181675
560,0.000181497
562.5,0.000181703
565,0.000182005
567.5,0.000182312
570,0.000182147
572.5,0.000181538
575,0.000181511
577.5,0.000182114
580,0.000182148
582.5,0.000181702
585,0.000181297
587.5,0.000181189
590,0.000181079
592.5,0.000181082
595,0.000181287
597.5,0.000181573
600,0.000181697
602.5,0.000181479
605,0.000181699
607.5,0.000182244
610,0.000182052
612.5,0.000181379
615,0.000180583
617.5,0.000180351
620,0.000179658
622.5,0.000179367
625,0.000178332
627.5,0.000177571
630,0.000176604
632.5,0.000176328
635,0.000176033
637.5,0.000176373
640,0.000175413
642.5,0.000174042
645,0.000173021
647.5,0.000173222
650,0.000173071
652.5,0.000173086
655,0.000172387
657.5,0.000171639
660,0.000170755
662.5,0.000170561
665,0.000170013
667.5,0.000168534
670,0.000172998
672.5,0.000179894
675,0.000182495
677.5,0.00018267
