Time (minutes),Intensity at 450 nm
2.5,0.000271326
5,0.000183473
7.5,0.000120446
10,6.28E-05
12.5,7.81E-05
15,7.96E-05
17.5,8.04E-05
20,8.19E-05
22.5,8.26E-05
25,8.40E-05
27.5,8.43E-05
30,8.62E-05
32.5,8.76E-05
35,9.03E-05
37.5,9.17E-05
40,9.44E-05
42.5,9.55E-05
45,9.78E-05
47.5,0.00010073
