Time (minutes),Intensity at 485 nm
2.5,9.49E-05
5,7.65E-05
7.5,6.32E-05
10,5.12E-05
12.5,5.45E-05
15,5.48E-05
17.5,5.49E-05
20,5.51E-05
22.5,5.51E-05
25,5.57E-05
27.5,5.63E-05
30,5.77E-05
32.5,5.83E-05
35,6.04E-05
37.5,6.18E-05
40,6.35E-05
42.5,6.37E-05
45,6.44E-05
47.5,6.52E-05
