Time (minutes),Intensity at 450 nm
2.5,0.00014273
5,0.000122655
7.5,0.000108494
10,9.59E-05
12.5,9.96E-05
15,0.000101264
17.5,0.000102499
20,0.000104625
22.5,0.000105374
25,0.000107822
27.5,0.000109106
30,0.00011272
32.5,0.000114613
35,0.000119934
37.5,0.000122646
40,0.000130765
42.5,0.000135595
45,0.000146114
47.5,0.000150659
50,0.000164647
52.5,0.000172363
55,0.00019207
57.5,0.000204455
60,0.000221742
62.5,0.000233026
65,0.000216603
67.5,0.00018584
70,0.000153406
72.5,0.000145526
75,0.000132724
77.5,0.000132017
80,0.00012625
82.5,0.000123157
85,0.000118481
87.5,0.000117019
90,0.000114503
92.5,0.000113669
95,0.000113265
97.5,0.000114041
100,0.000114494
102.5,0.000114295
105,0.000114953
107.5,0.000115598
110,0.000117093
112.5,0.000118012
115,0.000119569
117.5,0.000120138
120,0.000121509
122.5,0.000122194
125,0.000123394
127.5,0.000123888
130,0.000124601
132.5,0.00012474
135,0.000125049
137.5,0.000124941
140,0.000125853
142.5,0.000126815
145,0.000128255
147.5,0.000128054
150,0.000132257
152.5,0.000136948
155,0.000141371
157.5,0.000141547
160,0.000142939
162.5,0.000143195
165,0.00014493
167.5,0.000146384
170,0.000147982
172.5,0.000147963
175,0.000149541
177.5,0.000151035
180,0.000152469
182.5,0.000152246
185,0.0001537
187.5,0.000155125
190,0.00015712
192.5,0.000157874
195,0.000159013
197.5,0.000159034
200,0.000160385
202.5,0.000161554
205,0.000163309
207.5,0.000163919
210,0.000165401
212.5,0.000165971
215,0.000167885
217.5,0.00016898
220,0.000171675
222.5,0.000173312
225,0.000175739
227.5,0.000176231
230,0.000178775
232.5,0.000180471
235,0.000183708
237.5,0.000184806
240,0.000189427
242.5,0.000192667
245,0.00019827
247.5,0.000200427
250,0.000205961
252.5,0.000208434
255,0.000215668
257.5,0.00021993
260,0.000228453
262.5,0.000232457
265,0.000240459
267.5,0.000243933
270,0.000250845
272.5,0.000253783
275,0.000259303
277.5,0.000261545
280,0.000265193
282.5,0.000266115
285,0.000268611
287.5,0.000270059
290,0.000271074
292.5,0.000270525
295,0.000270182
297.5,0.000269877
300,0.000270337
302.5,0.000271322
305,0.000271548
307.5,0.00027099
310,0.000270105
312.5,0.00026934
315,0.000269395
317.5,0.000270344
320,0.000270803
322.5,0.000270399
325,0.000270769
327.5,0.000271556
330,0.000271666
332.5,0.000271034
335,0.000270664
337.5,0.000270613
340,0.000271134
342.5,0.000272026
345,0.000271985
347.5,0.000270901
350,0.000270915
352.5,0.000272047
355,0.000271972
357.5,0.000270775
360,0.00027059
362.5,0.000271432
365,0.000271878
367.5,0.000271789
370,0.000271487
372.5,0.000271138
375,0.000270734
377.5,0.000270619
380,0.000270482
382.5,0.000270591
385,0.000270241
387.5,0.00026957
390,0.000269975
392.5,0.000271032
395,0.000272129
397.5,0.000272419
400,0.000272844
402.5,0.000272898
405,0.000272836
407.5,0.000272676
410,0.000272326
412.5,0.000271972
415,0.000272109
417.5,0.000272666
420,0.000272982
422.5,0.000272753
425,0.000273089
427.5,0.000273778
430,0.000273525
432.5,0.000272663
435,0.000271579
437.5,0.000270889
440,0.000271211
442.5,0.000272398
445,0.000273323
447.5,0.000273977
450,0.000271542
452.5,0.000268454
455,0.000263475
457.5,0.000261274
460,0.000256659
462.5,0.000252381
465,0.000257126
467.5,0.000267547
470,0.000274479
472.5,0.000272637
475,0.000272863
477.5,0.000273237
480,0.000273463
482.5,0.000273299
485,0.000273518
487.5,0.000273964
490,0.000273854
492.5,0.000273171
495,0.000273281
497.5,0.000274032
500,0.000274491
502.5,0.000274413
505,0.000274214
507.5,0.000274031
510,0.00027349
512.5,0.000273137
515,0.00027241
517.5,0.000271935
520,0.000271668
522.5,0.000272055
525,0.000271616
527.5,0.000271197
530,0.000269106
532.5,0.000267671
535,0.000263673
537.5,0.00026085
540,0.000257319
542.5,0.000254916
545,0.000259805
547.5,0.00026849
550,0.000274599
552.5,0.000273321
555,0.00027343
557.5,0.000273303
560,0.00027344
562.5,0.000273751
565,0.000273683
567.5,0.000273269
570,0.000273153
572.5,0.000273408
575,0.000273449
577.5,0.00027337
580,0.000273014
582.5,0.000272502
585,0.000272803
587.5,0.00027383
590,0.000273837
592.5,0.000272914
595,0.000272235
597.5,0.000272339
600,0.000271763
602.5,0.000271317
605,0.000270103
607.5,0.000269344
610,0.000267863
612.5,0.000267612
615,0.000264471
617.5,0.000261742
620,0.000258621
