Time (minutes),Intensity at 485 nm
2.5,8.35E-05
5,7.32E-05
7.5,6.58E-05
10,5.88E-05
12.5,6.04E-05
15,6.03E-05
17.5,6.03E-05
20,6.05E-05
22.5,6.08E-05
25,6.11E-05
27.5,6.09E-05
30,6.11E-05
32.5,6.13E-05
35,6.17E-05
37.5,6.20E-05
40,6.24E-05
42.5,6.26E-05
45,6.30E-05
47.5,6.32E-05
50,6.36E-05
52.5,6.39E-05
55,6.39E-05
57.5,6.35E-05
60,6.33E-05
62.5,6.35E-05
65,6.29E-05
67.5,6.20E-05
70,6.14E-05
72.5,6.16E-05
75,6.17E-05
77.5,6.19E-05
80,6.20E-05
82.5,6.20E-05
85,6.20E-05
87.5,6.21E-05
90,6.22E-05
92.5,6.23E-05
95,6.23E-05
97.5,6.22E-05
100,6.22E-05
102.5,6.23E-05
105,6.25E-05
107.5,6.26E-05
110,6.27E-05
112.5,6.27E-05
115,6.28E-05
117.5,6.29E-05
120,6.30E-05
122.5,6.32E-05
125,6.33E-05
127.5,6.33E-05
130,6.33E-05
132.5,6.34E-05
135,6.32E-05
137.5,6.28E-05
140,6.26E-05
142.5,6.25E-05
145,6.28E-05
147.5,6.33E-05
150,6.38E-05
152.5,6.39E-05
155,6.45E-05
157.5,6.50E-05
160,6.55E-05
162.5,6.54E-05
165,6.55E-05
167.5,6.55E-05
170,6.58E-05
172.5,6.61E-05
175,6.66E-05
177.5,6.68E-05
180,6.74E-05
182.5,6.77E-05
185,6.85E-05
187.5,6.92E-05
190,6.97E-05
192.5,6.94E-05
195,6.96E-05
197.5,6.98E-05
200,7.02E-05
202.5,7.05E-05
205,7.08E-05
207.5,7.07E-05
210,7.13E-05
212.5,7.20E-05
215,7.26E-05
217.5,7.25E-05
220,7.31E-05
222.5,7.38E-05
225,7.46E-05
227.5,7.48E-05
230,7.55E-05
232.5,7.59E-05
235,7.65E-05
237.5,7.65E-05
240,7.70E-05
242.5,7.75E-05
245,7.80E-05
247.5,7.78E-05
250,7.83E-05
252.5,7.90E-05
255,7.98E-05
257.5,7.99E-05
260,8.11E-05
262.5,8.25E-05
265,8.34E-05
267.5,8.29E-05
270,8.35E-05
272.5,8.44E-05
275,8.52E-05
277.5,8.53E-05
280,8.53E-05
282.5,8.49E-05
285,8.47E-05
287.5,8.49E-05
290,8.51E-05
292.5,8.52E-05
295,8.55E-05
297.5,8.57E-05
300,8.60E-05
302.5,8.61E-05
305,8.60E-05
307.5,8.58E-05
310,8.56E-05
312.5,8.57E-05
315,8.56E-05
317.5,8.55E-05
320,8.55E-05
322.5,8.55E-05
325,8.55E-05
327.5,8.55E-05
330,8.56E-05
332.5,8.58E-05
335,8.59E-05
337.5,8.57E-05
340,8.58E-05
342.5,8.60E-05
345,8.58E-05
347.5,8.53E-05
350,8.52E-05
352.5,8.55E-05
355,8.58E-05
357.5,8.59E-05
360,8.59E-05
362.5,8.58E-05
365,8.55E-05
367.5,8.52E-05
370,8.52E-05
372.5,8.58E-05
375,8.54E-05
377.5,8.41E-05
380,8.40E-05
382.5,8.51E-05
385,8.56E-05
387.5,8.53E-05
390,8.54E-05
392.5,8.57E-05
395,8.58E-05
397.5,8.56E-05
400,8.55E-05
402.5,8.56E-05
405,8.58E-05
407.5,8.61E-05
410,8.59E-05
412.5,8.54E-05
415,8.51E-05
417.5,8.51E-05
420,8.51E-05
422.5,8.52E-05
425,8.51E-05
427.5,8.49E-05
430,8.47E-05
432.5,8.46E-05
435,8.44E-05
437.5,8.42E-05
440,8.41E-05
442.5,8.43E-05
445,8.44E-05
447.5,8.43E-05
450,8.36E-05
452.5,8.28E-05
455,8.23E-05
457.5,8.27E-05
460,8.24E-05
462.5,8.17E-05
465,8.22E-05
467.5,8.34E-05
470,8.42E-05
472.5,8.41E-05
475,8.42E-05
477.5,8.42E-05
480,8.42E-05
482.5,8.42E-05
485,8.42E-05
487.5,8.41E-05
490,8.41E-05
492.5,8.41E-05
495,8.42E-05
497.5,8.46E-05
500,8.43E-05
502.5,8.35E-05
505,8.34E-05
507.5,8.40E-05
510,8.43E-05
512.5,8.42E-05
515,8.40E-05
517.5,8.38E-05
520,8.38E-05
522.5,8.40E-05
525,8.41E-05
527.5,8.40E-05
530,8.35E-05
532.5,8.30E-05
535,8.23E-05
537.5,8.21E-05
540,8.17E-05
542.5,8.16E-05
545,8.21E-05
547.5,8.28E-05
550,8.37E-05
552.5,8.42E-05
555,8.47E-05
557.5,8.48E-05
560,8.45E-05
562.5,8.40E-05
565,8.38E-05
567.5,8.41E-05
570,8.43E-05
572.5,8.44E-05
575,8.44E-05
577.5,8.42E-05
580,8.40E-05
582.5,8.39E-05
585,8.39E-05
587.5,8.40E-05
590,8.41E-05
592.5,8.41E-05
595,8.42E-05
597.5,8.44E-05
600,8.44E-05
602.5,8.42E-05
605,8.39E-05
607.5,8.40E-05
610,8.36E-05
612.5,8.31E-05
615,8.28E-05
617.5,8.28E-05
620,8.31E-05
