Time (min),pH
0,7.32
0.1,7.27
0.2,7.23
0.3,7.19
0.4,7.17
0.5,7.15
0.6,7.14
0.7,7.11
0.8,7.09
0.9,7.07
1,7.06
1.1,7.04
1.2,7.02
1.3,7.01
1.4,6.99
1.5,6.97
1.6,6.96
1.7,6.95
1.8,6.93
1.9,6.92
2,6.9
2.1,6.89
2.2,6.87
2.3,6.86
2.4,6.85
2.5,6.84
2.6,6.82
2.7,6.81
2.8,6.8
2.9,6.78
3,6.77
3.1,6.76
3.2,6.75
3.3,6.74
3.4,6.72
3.5,6.71
3.6,6.7
3.7,6.69
3.8,6.68
3.9,6.67
4,6.65
4.1,6.64
4.2,6.63
4.3,6.62
4.4,6.61
4.5,6.6
4.6,6.59
4.7,6.58
4.8,6.57
4.9,6.56
5,6.55
5.1,6.53
5.2,6.52
5.3,6.51
5.4,6.5
5.5,6.49
5.6,6.48
5.7,6.47
5.8,6.46
5.9,6.45
6,6.43
6.1,6.42
6.2,6.41
6.3,6.4
6.4,6.39
6.5,6.38
6.6,6.37
6.7,6.36
6.8,6.34
6.9,6.33
7,6.32
7.1,6.31
7.2,6.3
7.3,6.29
7.4,6.28
7.5,6.26
7.6,6.25
7.7,6.24
7.8,6.23
7.9,6.22
8,6.2
8.1,6.19
8.2,6.18
8.3,6.17
8.4,6.16
8.5,6.14
8.6,6.13
8.7,6.12
8.8,6.11
8.9,6.09
9,6.08
9.1,6.06
9.2,6.05
9.3,6.04
9.4,6.02
9.5,6.01
9.6,6
9.7,5.98
9.8,5.97
9.9,5.95
10,5.94
10.1,5.93
10.2,5.91
10.3,5.9
10.4,5.88
10.5,5.87
10.6,5.85
10.7,5.84
10.8,5.82
10.9,5.81
11,5.79
11.1,5.77
11.2,5.76
11.3,5.74
11.4,5.73
11.5,5.71
11.6,5.7
11.7,5.68
11.8,5.66
11.9,5.64
12,5.63
12.1,5.61
12.2,5.6
12.3,5.58
12.4,5.56
12.5,5.55
12.6,5.53
12.7,5.51
12.8,5.5
12.9,5.48
13,5.47
13.1,5.45
13.2,5.43
13.3,5.42
13.4,5.41
13.5,5.39
13.6,5.37
13.7,5.36
13.8,5.34
13.9,5.33
14,5.32
14.1,5.3
14.2,5.29
14.3,5.27
14.4,5.25
14.5,5.24
14.6,5.22
14.7,5.21
14.8,5.19
14.9,5.18
15,5.17
15.1,5.16
15.2,5.14
15.3,5.13
15.4,5.12
15.5,5.11
15.6,5.1
15.7,5.09
15.8,5.08
15.9,5.07
16,5.06
16.1,5.04
16.2,5.04
16.3,5.03
16.4,5.02
16.5,5.01
16.6,5
16.7,4.99
16.8,4.98
16.9,4.97
17,4.96
17.1,4.96
17.2,4.95
17.3,4.94
17.4,4.93
17.5,4.92
17.6,4.91
17.7,4.91
17.8,4.9
17.9,4.89
18,4.88
18.1,4.88
18.2,4.87
18.3,4.86
18.4,4.86
18.5,4.85
18.6,4.84
18.7,4.83
18.8,4.83
18.9,4.82
19,4.81
19.1,4.81
19.2,4.8
19.3,4.8
19.4,4.79
19.5,4.78
19.6,4.78
19.7,4.77
19.8,4.77
19.9,4.76
20,4.76
20.1,4.75
20.2,4.74
20.3,4.74
20.4,4.73
20.5,4.73
20.6,4.72
20.7,4.72
20.8,4.71
20.9,4.71
21,4.7
21.1,4.7
21.2,4.69
21.3,4.69
21.4,4.68
21.5,4.68
21.6,4.67
21.7,4.67
21.8,4.66
21.9,4.66
22,4.65
22.1,4.65
22.2,4.65
22.3,4.64
22.4,4.64
22.5,4.63
22.6,4.63
22.7,4.63
22.8,4.62
22.9,4.62
23,4.61
23.1,4.61
23.2,4.61
23.3,4.6
23.4,4.6
23.5,4.59
23.6,4.59
23.7,4.59
23.8,4.58
23.9,4.58
24,4.58
24.1,4.57
24.2,4.57
24.3,4.57
24.4,4.56
24.5,4.56
24.6,4.55
24.7,4.55
24.8,4.55
24.9,4.54
25,4.54
25.1,4.54
25.2,4.53
25.3,4.53
25.4,4.53
25.5,4.52
25.6,4.52
25.7,4.52
25.8,4.51
25.9,4.51
26,4.51
26.1,4.5
26.2,4.5
26.3,4.5
26.4,4.5
26.5,4.5
26.6,4.49
26.7,4.49
26.8,4.48
26.9,4.48
27,4.48
27.1,4.48
27.2,4.47
27.3,4.47
27.4,4.47
27.5,4.47
27.6,4.46
27.7,4.46
27.8,4.46
27.9,4.45
28,4.45
28.1,4.45
28.2,4.45
28.3,4.44
28.4,4.44
28.5,4.44
28.6,4.43
28.7,4.43
28.8,4.43
28.9,4.43
29,4.42
29.1,4.42
29.2,4.42
29.3,4.42
29.4,4.42
29.5,4.41
29.6,4.41
29.7,4.41
29.8,4.4
29.9,4.4
30,4.4
30.1,4.4
30.2,4.4
30.3,4.39
30.4,4.39
30.5,4.39
30.6,4.39
30.7,4.38
30.8,4.38
30.9,4.38
31,4.38
31.1,4.38
31.2,4.37
31.3,4.37
31.4,4.37
31.5,4.37
31.6,4.36
31.7,4.36
31.8,4.36
31.9,4.36
32,4.35
32.1,4.35
32.2,4.35
32.3,4.35
32.4,4.35
32.5,4.35
32.6,4.34
32.7,4.34
32.8,4.34
32.9,4.34
33,4.34
33.1,4.34
33.2,4.33
33.3,4.33
33.4,4.33
33.5,4.33
33.6,4.32
33.7,4.32
33.8,4.32
33.9,4.32
34,4.32
34.1,4.32
34.2,4.31
34.3,4.31
34.4,4.31
34.5,4.31
34.6,4.31
34.7,4.3
34.8,4.3
34.9,4.3
35,4.3
35.1,4.3
35.2,4.29
35.3,4.29
35.4,4.29
35.5,4.29
35.6,4.29
35.7,4.28
35.8,4.28
35.9,4.28
36,4.28
36.1,4.28
36.2,4.28
36.3,4.28
36.4,4.28
36.5,4.27
36.6,4.27
36.7,4.27
36.8,4.27
36.9,4.27
37,4.27
37.1,4.27
37.2,4.26
37.3,4.26
37.4,4.26
37.5,4.26
37.6,4.25
37.7,4.25
37.8,4.25
37.9,4.25
38,4.25
38.1,4.25
38.2,4.25
38.3,4.24
38.4,4.24
38.5,4.24
38.6,4.24
38.7,4.23
38.8,4.23
38.9,4.23
39,4.23
39.1,4.23
39.2,4.23
39.3,4.23
39.4,4.23
39.5,4.22
39.6,4.22
39.7,4.22
39.8,4.22
39.9,4.22
40,4.22
40.1,4.22
40.2,4.21
40.3,4.21
40.4,4.21
40.5,4.21
40.6,4.21
40.7,4.21
40.8,4.2
40.9,4.2
41,4.2
41.1,4.2
41.2,4.2
41.3,4.2
41.4,4.2
41.5,4.2
41.6,4.19
41.7,4.19
41.8,4.19
41.9,4.19
42,4.19
42.1,4.19
42.2,4.19
42.3,4.19
42.4,4.19
42.5,4.18
42.6,4.18
42.7,4.18
42.8,4.18
42.9,4.18
43,4.18
43.1,4.17
43.2,4.17
43.3,4.17
43.4,4.17
43.5,4.17
43.6,4.17
43.7,4.17
43.8,4.17
43.9,4.17
44,4.17
44.1,4.16
44.2,4.16
44.3,4.16
44.4,4.16
44.5,4.16
44.6,4.15
44.7,4.15
44.8,4.15
44.9,4.15
45,4.15
46,4.14
46.1,4.14
46.2,4.14
46.3,4.14
46.4,4.14
46.5,4.14
46.6,4.13
46.7,4.13
46.8,4.13
46.9,4.13
47,4.13
47.1,4.13
47.2,4.13
47.3,4.13
47.4,4.13
47.5,4.12
47.6,4.12
47.7,4.12
47.8,4.12
47.9,4.12
48,4.12
48.1,4.12
48.2,4.12
48.3,4.12
48.4,4.11
48.5,4.11
48.6,4.11
48.7,4.11
48.8,4.11
48.9,4.11
49,4.11
49.1,4.11
49.2,4.11
49.3,4.11
49.4,4.11
49.5,4.1
49.6,4.1
49.7,4.1
49.8,4.1
49.9,4.1
50,4.1
50.1,4.1
50.2,4.1
50.3,4.09
50.4,4.09
50.5,4.09
50.6,4.09
50.7,4.09
50.8,4.09
50.9,4.09
51,4.09
51.1,4.09
51.2,4.08
51.3,4.08
51.4,4.08
51.5,4.08
51.6,4.08
51.7,4.08
51.8,4.08
51.9,4.07
52,4.07
52.1,4.07
52.2,4.07
52.3,4.07
52.4,4.06
52.5,4.06
52.6,4.06
52.7,4.06
52.8,4.06
52.9,4.05
53,4.06
53.1,4.05
53.2,4.05
53.3,4.05
53.4,4.05
53.5,4.04
53.6,4.04
53.7,4.04
53.8,4.04
53.9,4.04
54,4.04
54.1,4.03
54.2,4.03
54.3,4.03
54.4,4.03
54.5,4.03
54.6,4.03
54.7,4.03
54.8,4.03
54.9,4.03
55,4.02
55.1,4.02
55.2,4.02
55.3,4.02
55.4,4.02
55.5,4.02
55.6,4.02
55.7,4.02
55.8,4.02
55.9,4.02
56,4.02
56.1,4.02
56.2,4.01
56.3,4.01
56.4,4.01
56.5,4.01
56.6,4.01
56.7,4.01
56.8,4.01
56.9,4.01
57,4
57.1,4
57.2,4
57.3,4
57.4,4
57.5,4
57.6,4
57.7,4
57.8,4
57.9,4
58,4
58.1,4
58.2,3.99
58.3,3.99
58.4,3.99
58.5,3.99
58.6,3.99
58.7,3.99
58.8,3.99
58.9,3.99
59,3.99
59.1,3.99
59.2,3.98
59.3,3.98
59.4,3.98
59.5,3.98
59.6,3.98
59.7,3.98
59.8,3.98
59.9,3.98
60,3.98
60.1,3.98
60.2,3.98
60.3,3.98
60.4,3.98
60.5,3.98
60.6,3.98
60.7,3.97
60.8,3.97
60.9,3.97
61,3.97
61.1,3.97
61.2,3.97
61.3,3.97
61.4,3.97
61.5,3.97
61.6,3.97
61.7,3.97
61.8,3.97
61.9,3.96
62,3.96
62.1,3.96
62.2,3.96
62.3,3.96
62.4,3.96
62.5,3.96
62.6,3.96
62.7,3.96
62.8,3.96
62.9,3.96
63,3.96
63.1,3.96
63.2,3.96
63.3,3.95
63.4,3.95
63.5,3.95
63.6,3.95
63.7,3.95
63.8,3.95
63.9,3.95
64,3.95
64.1,3.94
64.2,3.94
64.3,3.94
64.4,3.94
64.5,3.94
64.6,3.94
64.7,3.94
64.8,3.94
64.9,3.94
65,3.94
65.1,3.94
65.2,3.94
65.3,3.94
65.4,3.94
65.5,3.94
65.6,3.93
65.7,3.93
65.8,3.93
65.9,3.93
66,3.93
66.1,3.93
66.2,3.93
66.3,3.93
66.4,3.93
66.5,3.93
66.6,3.93
66.7,3.93
66.8,3.92
66.9,3.92
67,3.92
67.1,3.92
67.2,3.92
67.3,3.92
67.4,3.92
67.5,3.92
67.6,3.92
67.7,3.92
67.8,3.92
67.9,3.92
68,3.92
68.1,3.92
68.2,3.92
68.3,3.92
68.4,3.91
68.5,3.91
68.6,3.91
68.7,3.91
68.8,3.91
68.9,3.91
69,3.91
69.1,3.91
69.2,3.91
69.3,3.91
69.4,3.91
69.5,3.9
69.6,3.9
69.7,3.9
69.8,3.9
69.9,3.9
70,3.9
70.1,3.9
70.2,3.9
70.3,3.9
70.4,3.9
70.5,3.9
70.6,3.9
70.7,3.9
70.8,3.9
70.9,3.9
71,3.9
71.1,3.9
71.2,3.9
71.3,3.9
71.4,3.89
71.5,3.89
71.6,3.89
71.7,3.89
71.8,3.89
71.9,3.89
72,3.89
72.1,3.89
72.2,3.89
72.3,3.89
