Time (min),pH
72.4,3.89
72.5,3.89
72.6,3.89
72.7,3.89
72.8,3.89
72.9,3.89
73,3.89
73.1,3.88
73.2,3.89
73.3,3.88
73.4,3.88
73.5,3.88
73.6,3.88
73.7,3.88
73.8,3.88
73.9,3.88
74,3.88
74.1,3.88
74.2,3.88
74.3,3.88
74.4,3.88
74.5,3.87
74.6,3.87
74.7,3.88
74.8,3.87
74.9,3.87
75,3.87
75.1,3.87
75.2,3.87
75.3,3.87
75.4,3.87
75.5,3.87
75.6,3.87
75.7,3.87
75.8,3.87
75.9,3.87
76,3.87
76.1,3.86
76.2,3.86
76.3,3.86
76.4,3.86
76.5,3.86
76.6,3.86
76.7,3.86
76.8,3.86
76.9,3.86
77,3.86
77.1,3.86
77.2,3.86
77.3,3.86
77.4,3.86
77.5,3.86
77.6,3.86
77.7,3.86
77.8,3.86
77.9,3.85
78,3.86
78.1,3.85
78.2,3.85
78.3,3.85
78.4,3.85
78.5,3.85
78.6,3.85
78.7,3.85
78.8,3.85
78.9,3.85
79,3.85
79.1,3.85
79.2,3.85
79.3,3.85
79.4,3.84
79.5,3.85
79.6,3.84
79.7,3.85
79.8,3.84
79.9,3.84
80,3.84
80.1,3.84
80.2,3.84
80.3,3.84
80.4,3.84
80.5,3.84
80.6,3.84
80.7,3.84
80.8,3.84
80.9,3.84
81,3.83
81.1,3.83
81.2,3.84
81.3,3.83
81.4,3.83
81.5,3.83
81.6,3.83
81.7,3.83
81.8,3.83
81.9,3.83
82,3.83
82.1,3.83
82.2,3.83
82.3,3.83
82.4,3.83
82.5,3.83
82.6,3.83
82.7,3.83
82.8,3.83
82.9,3.82
83,3.82
83.1,3.82
83.2,3.82
83.3,3.82
83.4,3.82
83.5,3.82
83.6,3.82
83.7,3.82
83.8,3.82
83.9,3.82
84,3.82
84.1,3.82
84.2,3.82
84.3,3.82
84.4,3.82
84.5,3.82
84.6,3.82
84.7,3.82
84.8,3.82
84.9,3.81
85,3.81
85.1,3.82
85.2,3.81
85.3,3.81
85.4,3.81
85.5,3.81
85.6,3.81
85.7,3.81
85.8,3.81
85.9,3.81
86,3.81
86.1,3.81
86.2,3.81
86.3,3.81
86.4,3.81
86.5,3.81
86.6,3.81
86.7,3.81
86.8,3.81
86.9,3.81
87,3.81
87.1,3.81
87.2,3.81
87.3,3.81
87.4,3.8
87.5,3.81
87.6,3.8
87.7,3.8
87.8,3.8
87.9,3.8
88,3.8
88.1,3.8
88.2,3.8
88.3,3.8
88.4,3.8
88.5,3.8
88.6,3.8
88.7,3.8
88.8,3.8
88.9,3.8
89,3.79
89.1,3.79
89.2,3.79
89.3,3.79
89.4,3.79
89.5,3.79
89.6,3.79
89.7,3.79
89.8,3.79
89.9,3.79
90,3.79
90.1,3.79
90.2,3.79
90.3,3.79
90.4,3.79
90.5,3.79
90.6,3.79
90.7,3.79
90.8,3.79
90.9,3.79
91,3.79
,
1440,3.31
