Time (min),pH
0,7.28
0.1,7.26
0.2,7.24
0.3,7.22
0.4,7.2
0.5,7.18
0.6,7.16
0.7,7.15
0.8,7.13
0.9,7.11
1,7.1
1.1,7.08
1.2,7.07
1.3,7.05
1.4,7.04
1.5,7.03
1.6,7.01
1.7,7
1.8,6.99
1.9,6.97
2,6.96
2.1,6.95
2.2,6.94
2.3,6.93
2.4,6.92
2.5,6.91
2.6,6.89
2.7,6.88
2.8,6.87
2.9,6.86
3,6.85
3.1,6.84
3.2,6.83
3.3,6.82
3.4,6.81
3.5,6.8
3.6,6.79
3.7,6.78
3.8,6.77
3.9,6.76
4,6.76
4.1,6.75
4.2,6.74
4.3,6.73
4.4,6.72
4.5,6.71
4.6,6.7
4.7,6.69
4.8,6.68
4.9,6.67
5,6.66
5.1,6.65
5.2,6.65
5.3,6.64
5.4,6.63
5.5,6.62
5.6,6.61
5.7,6.61
5.8,6.6
5.9,6.59
6,6.58
6.1,6.57
6.2,6.56
6.3,6.55
6.4,6.55
6.5,6.54
6.6,6.53
6.7,6.52
6.8,6.51
6.9,6.5
7,6.5
7.1,6.49
7.2,6.48
7.3,6.47
7.4,6.46
7.5,6.45
7.6,6.45
7.7,6.44
7.8,6.43
7.9,6.42
8,6.41
8.1,6.41
8.2,6.4
8.3,6.39
8.4,6.38
8.5,6.37
8.6,6.36
8.7,6.36
8.8,6.35
8.9,6.34
9,6.33
9.1,6.33
9.2,6.32
9.3,6.31
9.4,6.3
9.5,6.29
9.6,6.28
9.7,6.28
9.8,6.27
9.9,6.26
10,6.25
10.1,6.25
10.2,6.24
10.3,6.23
10.4,6.22
10.5,6.21
10.6,6.21
10.7,6.19
10.8,6.19
10.9,6.18
11,6.17
11.1,6.17
11.2,6.16
11.3,6.15
11.4,6.14
11.5,6.13
11.6,6.13
11.7,6.12
11.8,6.11
11.9,6.1
12,6.1
12.1,6.09
12.2,6.08
12.3,6.07
12.4,6.06
12.5,6.06
12.6,6.05
12.7,6.04
12.8,6.03
12.9,6.02
13,6.02
13.1,6.01
13.2,6
13.3,5.99
13.4,5.98
13.5,5.98
13.6,5.97
13.7,5.96
13.8,5.95
13.9,5.94
14,5.94
14.1,5.93
14.2,5.92
14.3,5.91
14.4,5.91
14.5,5.9
14.6,5.89
14.7,5.88
14.8,5.88
14.9,5.87
15,5.86
15.1,5.85
15.2,5.85
15.3,5.84
15.4,5.83
15.5,5.82
15.6,5.81
15.7,5.81
15.8,5.8
15.9,5.79
16,5.79
16.1,5.78
16.2,5.77
16.3,5.76
16.4,5.76
16.5,5.75
16.6,5.74
16.7,5.73
16.8,5.73
16.9,5.72
17,5.71
17.1,5.71
17.2,5.7
17.3,5.69
17.4,5.69
17.5,5.68
17.6,5.67
17.7,5.66
17.8,5.65
17.9,5.65
18,5.64
18.1,5.64
18.2,5.63
18.3,5.62
18.4,5.61
18.5,5.61
18.6,5.6
18.7,5.59
18.8,5.59
18.9,5.58
19,5.57
19.1,5.57
19.2,5.56
19.3,5.56
19.4,5.55
19.5,5.54
19.6,5.54
19.7,5.53
19.8,5.52
19.9,5.52
20,5.51
20.1,5.5
20.2,5.5
20.3,5.49
20.4,5.49
20.5,5.48
20.6,5.47
20.7,5.47
20.8,5.46
20.9,5.45
21,5.45
21.1,5.44
21.2,5.44
21.3,5.43
21.4,5.42
21.5,5.42
21.6,5.41
21.7,5.41
21.8,5.4
21.9,5.4
22,5.39
22.1,5.39
22.2,5.38
22.3,5.37
22.4,5.37
22.5,5.36
22.6,5.36
22.7,5.35
22.8,5.35
22.9,5.34
23,5.33
23.1,5.33
23.2,5.32
23.3,5.32
23.4,5.31
23.5,5.31
23.6,5.3
23.7,5.3
23.8,5.29
23.9,5.29
24,5.28
24.1,5.27
24.2,5.27
24.3,5.26
24.4,5.25
24.5,5.24
24.6,5.24
24.7,5.24
24.8,5.23
24.9,5.22
25,5.22
25.1,5.21
25.2,5.21
25.3,5.2
25.4,5.2
25.5,5.19
25.6,5.19
25.7,5.19
25.8,5.18
25.9,5.18
26,5.17
26.1,5.17
26.2,5.16
26.3,5.16
26.4,5.15
26.5,5.15
26.6,5.14
26.7,5.14
26.8,5.14
26.9,5.13
27,5.13
27.1,5.12
27.2,5.12
27.3,5.11
27.4,5.11
27.5,5.11
27.6,5.1
27.7,5.1
27.8,5.09
27.9,5.09
28,5.08
28.1,5.08
28.2,5.08
28.3,5.07
28.4,5.07
28.5,5.06
28.6,5.06
28.7,5.06
28.8,5.05
28.9,5.05
29,5.04
29.1,5.04
29.2,5.04
29.3,5.03
29.4,5.03
29.5,5.03
29.6,5.02
29.7,5.02
29.8,5.01
29.9,5.01
30,5.01
30.1,5
30.2,5
30.3,4.99
30.4,4.99
30.5,4.99
30.6,4.98
30.7,4.98
30.8,4.98
30.9,4.97
31,4.97
31.1,4.97
31.2,4.96
31.3,4.96
31.4,4.96
31.5,4.95
31.6,4.95
31.7,4.95
31.8,4.95
31.9,4.94
32,4.94
32.1,4.93
32.2,4.93
32.3,4.93
32.4,4.92
32.5,4.92
32.6,4.92
32.7,4.91
32.8,4.91
32.9,4.91
33,4.9
33.1,4.9
33.2,4.9
33.3,4.89
33.4,4.89
33.5,4.89
33.6,4.89
33.7,4.88
33.8,4.88
33.9,4.88
34,4.88
34.1,4.87
34.2,4.87
34.3,4.87
34.4,4.86
34.5,4.86
34.6,4.86
34.7,4.85
34.8,4.85
34.9,4.85
35,4.84
35.1,4.84
35.2,4.84
35.3,4.84
35.4,4.83
35.5,4.83
35.6,4.83
35.7,4.82
35.8,4.82
35.9,4.82
36,4.82
36.1,4.81
36.2,4.81
36.3,4.81
36.4,4.81
36.5,4.8
36.6,4.8
36.7,4.8
36.8,4.8
36.9,4.8
37,4.79
37.1,4.79
37.2,4.78
37.3,4.78
37.4,4.78
37.5,4.78
37.6,4.78
37.7,4.77
37.8,4.77
37.9,4.77
38,4.77
38.1,4.76
38.2,4.76
38.3,4.76
38.4,4.76
38.5,4.75
38.6,4.75
38.7,4.75
38.8,4.74
38.9,4.74
39,4.74
39.1,4.74
39.2,4.74
39.3,4.73
39.4,4.73
39.5,4.73
39.6,4.73
39.7,4.72
39.8,4.72
39.9,4.72
40,4.72
40.1,4.72
40.2,4.71
40.3,4.71
40.4,4.71
40.5,4.71
40.6,4.7
40.7,4.7
40.8,4.7
40.9,4.7
41,4.7
41.1,4.69
41.2,4.69
41.3,4.69
41.4,4.69
41.5,4.69
41.6,4.68
41.7,4.68
41.8,4.68
41.9,4.68
42,4.67
42.1,4.67
42.2,4.67
42.3,4.67
42.4,4.67
42.5,4.66
42.6,4.66
42.7,4.66
42.8,4.66
42.9,4.66
43,4.65
43.1,4.65
43.2,4.65
43.3,4.65
43.4,4.65
43.5,4.65
43.6,4.64
43.7,4.64
43.8,4.64
43.9,4.64
44,4.64
44.1,4.63
44.2,4.63
44.3,4.63
44.4,4.63
44.5,4.63
44.6,4.63
44.7,4.62
44.8,4.62
44.9,4.62
45,4.62
45.1,4.62
45.2,4.61
45.3,4.61
45.4,4.61
45.5,4.61
45.6,4.61
45.7,4.6
45.8,4.6
45.9,4.6
46,4.6
46.1,4.6
46.2,4.59
46.3,4.59
46.4,4.59
46.5,4.59
46.6,4.59
46.7,4.59
46.8,4.59
46.9,4.58
47,4.58
47.1,4.58
47.2,4.58
47.3,4.58
47.4,4.58
47.5,4.57
47.6,4.57
47.7,4.57
47.8,4.57
47.9,4.57
48,4.57
48.1,4.57
48.2,4.56
48.3,4.56
48.4,4.56
48.5,4.56
48.6,4.56
48.7,4.55
48.8,4.55
48.9,4.55
49,4.55
49.1,4.55
49.2,4.55
49.3,4.54
49.4,4.54
49.5,4.54
49.6,4.54
49.7,4.54
49.8,4.54
49.9,4.53
50,4.53
50.1,4.53
50.2,4.53
50.3,4.53
50.4,4.53
50.5,4.53
50.6,4.53
50.7,4.52
50.8,4.52
50.9,4.52
51,4.52
51.1,4.52
51.2,4.51
51.3,4.51
51.4,4.51
51.5,4.51
51.6,4.51
51.7,4.51
51.8,4.51
51.9,4.51
52,4.5
52.1,4.5
52.2,4.5
52.3,4.5
52.4,4.5
52.5,4.5
52.6,4.5
52.7,4.5
52.8,4.49
52.9,4.49
53,4.49
53.1,4.49
53.2,4.49
53.3,4.49
53.4,4.49
53.5,4.48
53.6,4.48
53.7,4.48
53.8,4.48
53.9,4.48
54,4.48
54.1,4.48
54.2,4.48
54.3,4.47
54.4,4.47
54.5,4.47
54.6,4.47
54.7,4.47
54.8,4.47
54.9,4.47
55,4.46
55.1,4.46
55.2,4.46
55.3,4.46
55.4,4.46
55.5,4.46
55.6,4.46
55.7,4.46
55.8,4.45
55.9,4.45
56,4.45
56.1,4.45
56.2,4.45
56.3,4.45
56.4,4.45
56.5,4.44
56.6,4.44
56.7,4.44
56.8,4.44
56.9,4.44
57,4.44
57.1,4.44
57.2,4.44
57.3,4.43
57.4,4.43
57.5,4.43
57.6,4.43
57.7,4.43
57.8,4.43
57.9,4.43
58,4.43
58.1,4.43
58.2,4.42
58.3,4.42
58.4,4.42
58.5,4.42
58.6,4.42
58.7,4.42
58.8,4.42
58.9,4.42
59,4.42
59.1,4.42
59.2,4.42
59.3,4.41
59.4,4.41
59.5,4.41
59.6,4.41
59.7,4.41
59.8,4.41
59.9,4.4
60,4.4
60.1,4.4
60.2,4.4
60.3,4.4
60.4,4.4
60.5,4.4
60.6,4.4
60.7,4.4
60.8,4.4
60.9,4.39
61,4.39
61.1,4.39
61.2,4.39
61.3,4.39
61.4,4.39
61.5,4.39
61.6,4.39
61.7,4.38
61.8,4.38
61.9,4.38
62,4.38
62.1,4.38
62.2,4.38
62.3,4.38
62.4,4.38
62.5,4.38
62.6,4.38
62.7,4.38
62.8,4.37
62.9,4.37
63,4.37
63.1,4.37
63.2,4.37
63.3,4.37
63.4,4.37
63.5,4.36
63.6,4.36
63.7,4.36
63.8,4.36
63.9,4.36
64,4.36
64.1,4.36
64.2,4.36
64.3,4.36
64.4,4.36
64.5,4.36
64.6,4.35
64.7,4.35
64.8,4.35
64.9,4.35
65,4.35
65.1,4.35
65.2,4.35
65.3,4.35
65.4,4.35
65.5,4.35
65.6,4.35
65.7,4.35
65.8,4.34
65.9,4.34
66,4.34
66.1,4.34
66.2,4.34
66.3,4.34
66.4,4.34
66.5,4.34
66.6,4.34
66.7,4.34
66.8,4.33
66.9,4.33
67,4.33
67.1,4.33
67.2,4.33
67.3,4.33
67.4,4.33
67.5,4.33
67.6,4.33
67.7,4.32
67.8,4.32
67.9,4.32
68,4.32
68.1,4.32
68.2,4.32
68.3,4.32
68.4,4.32
68.5,4.32
68.6,4.32
68.7,4.32
68.8,4.32
68.9,4.32
69,4.32
69.1,4.31
69.2,4.31
69.3,4.31
69.4,4.31
69.5,4.31
69.6,4.31
69.7,4.31
69.8,4.31
69.9,4.31
70,4.31
70.1,4.3
70.2,4.3
70.3,4.3
70.4,4.3
70.5,4.3
70.6,4.3
70.7,4.3
70.8,4.3
70.9,4.3
71,4.3
71.1,4.3
71.2,4.29
71.3,4.29
71.4,4.29
71.5,4.29
71.6,4.29
71.7,4.29
71.8,4.29
71.9,4.29
72,4.29
72.1,4.29
72.2,4.29
72.3,4.28
72.4,4.28
72.5,4.28
72.6,4.28
72.7,4.28
72.8,4.28
72.9,4.28
73,4.28
73.1,4.28
73.2,4.28
73.3,4.28
73.4,4.28
73.5,4.28
73.6,4.28
73.7,4.28
73.8,4.27
73.9,4.27
74,4.27
74.1,4.27
74.2,4.27
74.3,4.27
74.4,4.27
74.5,4.27
74.6,4.27
74.7,4.27
74.8,4.27
74.9,4.27
75,4.27
75.1,4.27
75.2,4.26
75.3,4.26
75.4,4.26
75.5,4.26
75.6,4.26
75.7,4.26
75.8,4.26
75.9,4.26
76,4.26
76.1,4.26
76.2,4.25
76.3,4.25
76.4,4.25
76.5,4.25
76.6,4.25
76.7,4.25
76.8,4.25
76.9,4.25
77,4.25
77.1,4.25
77.2,4.25
77.3,4.25
77.4,4.25
77.5,4.25
77.6,4.24
77.7,4.24
77.8,4.24
77.9,4.24
78,4.24
78.1,4.24
78.2,4.24
78.3,4.24
78.4,4.24
78.5,4.24
78.6,4.24
78.7,4.23
78.8,4.23
78.9,4.23
79,4.23
79.1,4.23
79.2,4.23
79.3,4.23
79.4,4.23
79.5,4.23
79.6,4.23
79.7,4.23
79.8,4.23
79.9,4.23
80,4.23
80.1,4.23
80.2,4.22
80.3,4.22
80.4,4.22
80.5,4.22
80.6,4.22
80.7,4.22
80.8,4.22
80.9,4.22
81,4.22
81.1,4.22
81.2,4.22
81.3,4.22
81.4,4.21
81.5,4.21
81.6,4.21
81.7,4.21
81.8,4.21
81.9,4.21
82,4.21
82.1,4.21
82.2,4.21
82.3,4.21
82.4,4.21
82.5,4.21
82.6,4.21
82.7,4.21
82.8,4.2
82.9,4.2
83,4.2
83.1,4.2
83.2,4.2
83.3,4.2
83.4,4.2
83.5,4.2
83.6,4.2
83.7,4.2
83.8,4.2
83.9,4.2
84,4.2
84.1,4.2
84.2,4.2
84.3,4.2
84.4,4.2
84.5,4.2
84.6,4.19
84.7,4.19
84.8,4.19
84.9,4.19
85,4.19
85.1,4.19
85.2,4.19
85.3,4.19
85.4,4.19
85.5,4.19
85.6,4.19
85.7,4.19
85.8,4.19
85.9,4.19
86,4.19
86.1,4.19
86.2,4.19
86.3,4.19
86.4,4.19
86.5,4.18
86.6,4.18
86.7,4.18
86.8,4.18
86.9,4.18
87,4.18
87.1,4.18
87.2,4.18
87.3,4.18
87.4,4.18
87.5,4.18
87.6,4.17
87.7,4.17
87.8,4.17
87.9,4.17
88,4.17
88.1,4.17
88.2,4.17
88.3,4.17
88.4,4.17
88.5,4.17
88.6,4.17
88.7,4.17
88.8,4.17
88.9,4.17
89,4.17
89.1,4.17
89.2,4.17
89.3,4.17
89.4,4.17
89.5,4.17
89.6,4.17
89.7,4.17
89.8,4.17
89.9,4.17
90,4.16
90.1,4.16
90.2,4.16
90.3,4.16
90.4,4.16
90.5,4.16
90.6,4.16
90.7,4.16
90.8,4.16
90.9,4.16
91,4.16
91.1,4.15
91.2,4.15
91.3,4.15
91.4,4.15
91.5,4.15
91.6,4.15
91.7,4.15
91.8,4.15
91.9,4.15
92,4.15
92.1,4.15
92.2,4.15
92.3,4.15
92.4,4.15
92.5,4.15
92.6,4.15
92.7,4.15
92.8,4.15
92.9,4.15
93,4.14
93.1,4.14
93.2,4.14
93.3,4.14
93.4,4.14
93.5,4.14
93.6,4.14
93.7,4.14
93.8,4.14
93.9,4.14
94,4.14
94.1,4.14
94.2,4.14
94.3,4.14
94.4,4.14
94.5,4.13
94.6,4.13
94.7,4.13
94.8,4.13
94.9,4.13
95,4.13
95.1,4.13
95.2,4.13
95.3,4.13
95.4,4.13
95.5,4.13
95.6,4.13
95.7,4.13
95.8,4.13
95.9,4.13
96,4.13
96.1,4.13
96.2,4.13
96.3,4.12
96.4,4.12
96.5,4.12
96.6,4.12
96.7,4.12
96.8,4.12
96.9,4.12
97,4.12
97.1,4.12
97.2,4.12
97.3,4.12
97.4,4.12
97.5,4.12
97.6,4.12
97.7,4.12
97.8,4.12
97.9,4.12
98,4.12
98.1,4.12
98.2,4.11
98.3,4.12
98.4,4.11
98.5,4.11
98.6,4.11
98.7,4.11
98.8,4.11
98.9,4.11
99,4.11
99.1,4.11
99.2,4.11
99.3,4.11
99.4,4.11
99.5,4.11
99.6,4.11
99.7,4.11
99.8,4.11
99.9,4.11
100,4.11
100.1,4.11
100.2,4.11
100.3,4.11
100.4,4.11
100.5,4.11
100.6,4.11
100.7,4.11
100.8,4.11
100.9,4.11
101,4.1
101.1,4.1
101.2,4.1
101.3,4.1
101.4,4.1
101.5,4.1
101.6,4.1
101.7,4.1
101.8,4.1
101.9,4.1
102,4.1
102.1,4.1
102.2,4.1
102.3,4.1
102.4,4.1
102.5,4.1
102.6,4.09
102.7,4.1
102.8,4.09
102.9,4.09
103,4.09
103.1,4.09
103.2,4.09
103.3,4.09
103.4,4.09
103.5,4.09
103.6,4.09
103.7,4.09
103.8,4.09
103.9,4.09
104,4.09
104.1,4.09
104.2,4.09
104.3,4.09
104.4,4.09
104.5,4.09
104.6,4.09
104.7,4.09
104.8,4.08
104.9,4.08
105,4.08
105.1,4.08
105.2,4.08
105.3,4.08
105.4,4.08
105.5,4.08
105.6,4.08
105.7,4.08
105.8,4.08
105.9,4.08
106,4.08
106.1,4.07
106.2,4.07
106.3,4.07
106.4,4.07
106.5,4.07
106.6,4.07
106.7,4.07
106.8,4.07
106.9,4.07
107,4.07
107.1,4.07
107.2,4.06
107.3,4.07
107.4,4.06
107.5,4.06
107.6,4.06
107.7,4.06
107.8,4.06
107.9,4.06
108,4.06
108.1,4.06
108.2,4.06
108.3,4.06
108.4,4.06
108.5,4.05
108.6,4.05
108.7,4.05
108.8,4.05
108.9,4.05
109,4.05
109.1,4.05
109.2,4.05
109.3,4.05
109.4,4.05
109.5,4.05
109.6,4.05
109.7,4.05
109.8,4.04
109.9,4.04
110,4.04
110.1,4.05
110.2,4.04
110.3,4.04
110.4,4.04
110.5,4.04
110.6,4.04
110.7,4.04
110.8,4.04
110.9,4.04
111,4.03
111.1,4.04
111.2,4.03
111.3,4.03
111.4,4.03
111.5,4.03
111.6,4.03
111.7,4.03
111.8,4.03
111.9,4.03
112,4.03
112.1,4.03
112.2,4.03
112.3,4.03
112.4,4.03
112.5,4.03
112.6,4.03
112.7,4.03
112.8,4.03
112.9,4.03
113,4.03
113.1,4.02
113.2,4.02
113.3,4.02
113.4,4.02
113.5,4.02
113.6,4.02
113.7,4.02
113.8,4.02
113.9,4.02
114,4.02
114.1,4.02
114.2,4.02
114.3,4.02
114.4,4.02
114.5,4.02
114.6,4.02
114.7,4.02
114.8,4.02
114.9,4.02
115,4.02
115.1,4.02
115.2,4.02
115.3,4.02
115.4,4.02
115.5,4.02
115.6,4.02
115.7,4.02
115.8,4.02
115.9,4.02
116,4.02
116.1,4.01
116.2,4.01
116.3,4.01
116.4,4.01
116.5,4.01
116.6,4.01
116.7,4.01
116.8,4.01
116.9,4.01
117,4.01
117.1,4.01
117.2,4.01
117.3,4.01
117.4,4.01
117.5,4.01
117.6,4.01
117.7,4.01
117.8,4.01
117.9,4.01
118,4.01
118.1,4.01
118.2,4
118.3,4
118.4,4
118.5,4
118.6,4
118.7,4
118.8,4
118.9,4
119,4
119.1,4
119.2,4
119.3,4
119.4,4
119.5,4
119.6,4
119.7,4
119.8,4
119.9,4
120,4
120.1,4
120.2,4
120.3,4
120.4,4
120.5,4
120.6,4
120.7,4
120.8,4
120.9,4
121,3.99
121.1,3.99
121.2,3.99
121.3,3.99
121.4,3.99
121.5,3.99
121.6,3.99
121.7,3.99
