Time (min),pH
121.8,3.99
121.9,3.99
122,3.99
122.1,3.99
122.2,3.99
122.3,3.99
122.4,3.99
122.5,3.99
122.6,3.99
122.7,3.99
122.8,3.99
122.9,3.99
123,3.99
123.1,3.99
123.2,3.99
123.3,3.99
123.4,3.98
123.5,3.98
123.6,3.98
123.7,3.98
123.8,3.98
123.9,3.98
124,3.98
124.1,3.98
124.2,3.98
124.3,3.98
124.4,3.98
124.5,3.98
124.6,3.98
124.7,3.98
124.8,3.98
124.9,3.98
125,3.98
125.1,3.98
125.2,3.98
125.3,3.98
125.4,3.98
125.5,3.98
125.6,3.98
125.7,3.98
125.8,3.98
125.9,3.98
126,3.98
126.1,3.98
126.2,3.98
126.3,3.98
126.4,3.98
126.5,3.97
126.6,3.97
126.7,3.97
126.8,3.97
126.9,3.97
127,3.97
127.1,3.97
127.2,3.97
127.3,3.97
127.4,3.97
127.5,3.97
127.6,3.97
127.7,3.97
127.8,3.97
127.9,3.97
128,3.97
128.1,3.97
128.2,3.97
128.3,3.97
128.4,3.97
128.5,3.97
128.6,3.97
128.7,3.97
128.8,3.97
128.9,3.97
129,3.97
129.1,3.97
129.2,3.97
129.3,3.96
129.4,3.97
129.5,3.96
129.6,3.96
129.7,3.96
129.8,3.96
129.9,3.96
130,3.96
130.1,3.96
130.2,3.96
130.3,3.96
130.4,3.96
130.5,3.96
130.6,3.96
130.7,3.96
130.8,3.96
130.9,3.96
131,3.96
131.1,3.96
131.2,3.96
131.3,3.96
131.4,3.96
131.5,3.96
131.6,3.96
131.7,3.96
131.8,3.96
131.9,3.96
132,3.96
132.1,3.96
132.2,3.96
132.3,3.96
132.4,3.96
132.5,3.96
132.6,3.96
132.7,3.96
132.8,3.95
132.9,3.95
133,3.95
133.1,3.95
133.2,3.95
133.3,3.95
133.4,3.95
133.5,3.95
133.6,3.95
133.7,3.95
133.8,3.95
133.9,3.95
134,3.95
134.1,3.95
134.2,3.95
134.3,3.95
134.4,3.95
134.5,3.95
134.6,3.95
134.7,3.95
134.8,3.94
134.9,3.95
135,3.95
135.1,3.94
135.2,3.95
135.3,3.94
135.4,3.94
135.5,3.94
135.6,3.94
135.7,3.94
135.8,3.94
135.9,3.94
136,3.94
136.1,3.94
136.2,3.94
136.3,3.94
136.4,3.94
136.5,3.94
136.6,3.94
136.7,3.94
136.8,3.94
136.9,3.94
137,3.94
137.1,3.94
137.2,3.94
137.3,3.94
137.4,3.94
137.5,3.94
137.6,3.94
137.7,3.94
137.8,3.94
137.9,3.94
138,3.94
138.1,3.94
138.2,3.94
138.3,3.94
138.4,3.94
138.5,3.94
138.6,3.94
138.7,3.93
138.8,3.93
138.9,3.93
139,3.93
139.1,3.93
139.2,3.93
139.3,3.93
139.4,3.93
139.5,3.93
139.6,3.93
139.7,3.93
139.8,3.93
139.9,3.93
140,3.93
140.1,3.93
140.2,3.93
140.3,3.93
140.4,3.93
140.5,3.93
140.6,3.93
140.7,3.93
140.8,3.93
140.9,3.93
141,3.93
141.1,3.93
141.2,3.93
141.3,3.93
141.4,3.93
141.5,3.93
141.6,3.93
141.7,3.93
141.8,3.92
141.9,3.92
142,3.92
142.1,3.92
142.2,3.92
142.3,3.92
142.4,3.92
142.5,3.92
142.6,3.92
142.7,3.92
142.8,3.92
142.9,3.92
143,3.92
143.1,3.92
143.2,3.92
143.3,3.92
143.4,3.92
143.5,3.92
143.6,3.92
143.7,3.92
143.8,3.92
143.9,3.92
144,3.92
144.1,3.92
144.2,3.92
144.3,3.92
144.4,3.92
144.5,3.92
144.6,3.92
144.7,3.92
144.8,3.92
144.9,3.92
145,3.92
145.1,3.92
145.2,3.92
145.3,3.92
145.4,3.92
145.5,3.92
145.6,3.92
145.7,3.92
145.8,3.92
145.9,3.92
146,3.91
146.1,3.91
146.2,3.91
146.3,3.91
146.4,3.91
146.5,3.91
146.6,3.92
146.7,3.91
146.8,3.91
146.9,3.91
147,3.91
147.1,3.91
147.2,3.91
147.3,3.91
147.4,3.91
147.5,3.91
147.6,3.91
147.7,3.91
147.8,3.91
147.9,3.91
148,3.91
148.1,3.91
148.2,3.91
148.3,3.91
148.4,3.91
148.5,3.91
148.6,3.91
148.7,3.91
148.8,3.91
148.9,3.91
149,3.91
149.1,3.91
149.2,3.91
149.3,3.91
149.4,3.91
149.5,3.9
149.6,3.9
149.7,3.9
149.8,3.9
149.9,3.9
150,3.9
150.1,3.9
150.2,3.9
150.3,3.9
150.4,3.9
150.5,3.9
150.6,3.9
150.7,3.9
150.8,3.9
150.9,3.9
151,3.9
151.1,3.9
151.2,3.9
151.3,3.9
151.4,3.9
151.5,3.9
151.6,3.9
151.7,3.9
151.8,3.9
151.9,3.9
152,3.9
152.1,3.9
152.2,3.9
152.3,3.9
152.4,3.9
152.5,3.9
152.6,3.9
152.7,3.9
152.8,3.9
152.9,3.9
153,3.9
153.1,3.9
153.2,3.9
153.3,3.9
153.4,3.9
153.5,3.9
153.6,3.9
153.7,3.9
153.8,3.9
153.9,3.9
154,3.9
154.1,3.9
154.2,3.9
154.3,3.9
154.4,3.89
154.5,3.9
154.6,3.9
154.7,3.89
154.8,3.89
154.9,3.89
155,3.89
155.1,3.89
155.2,3.89
155.3,3.89
155.4,3.89
155.5,3.89
155.6,3.89
155.7,3.89
155.8,3.89
155.9,3.89
156,3.89
156.1,3.89
156.2,3.89
156.3,3.89
156.4,3.89
156.5,3.89
156.6,3.89
156.7,3.89
156.8,3.89
156.9,3.89
157,3.89
157.1,3.89
157.2,3.89
157.3,3.89
157.4,3.89
157.5,3.89
157.6,3.89
157.7,3.89
157.8,3.89
157.9,3.89
158,3.89
158.1,3.89
158.2,3.89
158.3,3.89
158.4,3.89
158.5,3.89
158.6,3.89
158.7,3.89
158.8,3.89
158.9,3.89
159,3.89
159.1,3.89
159.2,3.88
159.3,3.88
159.4,3.88
159.5,3.88
159.6,3.88
159.7,3.88
159.8,3.88
159.9,3.88
160,3.88
160.1,3.88
160.2,3.88
160.3,3.88
160.4,3.88
160.5,3.88
160.6,3.88
160.7,3.88
160.8,3.88
160.9,3.88
161,3.88
161.1,3.88
161.2,3.88
161.3,3.88
161.4,3.88
161.5,3.88
161.6,3.88
161.7,3.88
161.8,3.88
161.9,3.88
162,3.88
162.1,3.88
162.2,3.88
162.3,3.88
162.4,3.88
162.5,3.88
162.6,3.88
162.7,3.87
162.8,3.88
162.9,3.88
163,3.88
163.1,3.87
163.2,3.87
163.3,3.87
163.4,3.87
163.5,3.87
163.6,3.87
163.7,3.87
163.8,3.87
163.9,3.87
164,3.87
164.1,3.87
164.2,3.87
164.3,3.87
164.4,3.87
164.5,3.87
164.6,3.87
164.7,3.87
164.8,3.87
164.9,3.87
165,3.87
165.1,3.87
165.2,3.87
165.3,3.87
165.4,3.87
165.5,3.87
165.6,3.87
165.7,3.87
165.8,3.87
165.9,3.87
166,3.87
166.1,3.87
166.2,3.87
166.3,3.87
166.4,3.87
166.5,3.87
166.6,3.87
166.7,3.87
166.8,3.87
166.9,3.87
167,3.86
167.1,3.86
167.2,3.86
167.3,3.87
167.4,3.86
167.5,3.86
167.6,3.86
167.7,3.86
167.8,3.86
167.9,3.86
168,3.86
168.1,3.86
168.2,3.86
168.3,3.86
168.4,3.86
168.5,3.86
168.6,3.86
168.7,3.86
168.8,3.86
168.9,3.86
169,3.86
169.1,3.86
169.2,3.86
169.3,3.86
169.4,3.86
169.5,3.86
169.6,3.86
169.7,3.86
169.8,3.86
169.9,3.86
170,3.86
170.1,3.86
170.2,3.86
170.3,3.86
170.4,3.86
170.5,3.86
170.6,3.86
170.7,3.86
170.8,3.86
170.9,3.86
171,3.86
171.1,3.86
171.2,3.86
171.3,3.86
171.4,3.86
171.5,3.86
171.6,3.86
171.7,3.86
171.8,3.86
171.9,3.86
172,3.86
172.1,3.86
172.2,3.86
172.3,3.86
172.4,3.86
172.5,3.86
172.6,3.86
172.7,3.85
172.8,3.85
172.9,3.85
173,3.85
173.1,3.85
173.2,3.85
173.3,3.85
173.4,3.85
173.5,3.85
173.6,3.85
173.7,3.85
173.8,3.85
173.9,3.85
174,3.85
174.1,3.85
174.2,3.85
174.3,3.85
174.4,3.85
174.5,3.85
174.6,3.85
174.7,3.85
174.8,3.85
174.9,3.85
175,3.85
175.1,3.85
175.2,3.85
175.3,3.85
175.4,3.85
175.5,3.85
175.6,3.85
175.7,3.85
175.8,3.85
175.9,3.85
176,3.85
176.1,3.85
176.2,3.85
176.3,3.85
176.4,3.85
176.5,3.85
176.6,3.85
176.7,3.85
176.8,3.85
176.9,3.85
177,3.85
177.1,3.85
177.2,3.85
177.3,3.85
177.4,3.85
177.5,3.85
177.6,3.84
177.7,3.84
177.8,3.84
177.9,3.84
178,3.84
178.1,3.84
178.2,3.84
178.3,3.84
178.4,3.84
178.5,3.84
178.6,3.84
178.7,3.84
178.8,3.84
178.9,3.84
179,3.84
179.1,3.84
179.2,3.84
179.3,3.84
179.4,3.84
179.5,3.84
179.6,3.84
179.7,3.84
179.8,3.84
179.9,3.84
180,3.84
