Time (min),Intensity
16.362,0.00858894307349468
20.447,0.008606283950860764
24.531,0.008700094100606199
28.616,0.008687969763083262
32.701,0.008715205982111309
36.785,0.008719443147244663
40.87,0.008742876766159704
44.955,0.00875447618100329
49.04,0.008780203991468078
53.124,0.008759646026262368
57.209,0.008827147284054017
61.293,0.00880650711933759
65.378,0.008835826980927521
69.463,0.00881769346941093
73.547,0.008816803147214745
77.632,0.008804542250267017
81.716,0.008852677252412736
85.8,0.008947769223855616
89.885,0.00886431813573155
93.969,0.008866826141661755
98.054,0.008906061073092006
102.138,0.008898568944737716
106.223,0.008982460601025664
110.308,0.008950790272302054
114.392,0.008978031845082174
118.476,0.009000063424537576
122.561,0.009057905366950681
126.645,0.009035585212547317
130.729,0.009079167661415383
134.814,0.009110724513001347
138.898,0.009162430202595944
142.982,0.009180744920832906
147.066,0.009178258385283935
151.151,0.00921145871764147
155.235,0.009240647678173038
159.319,0.009260042210549928
163.404,0.009256940524795008
167.488,0.009301424757368993
171.572,0.009368222149003467
175.656,0.00933631942897245
179.741,0.009389223934702672
183.825,0.00940819948542269
187.909,0.00949417847444933
191.993,0.009495667828122552
196.077,0.009544552973942017
200.161,0.009598632427279373
204.246,0.009623899139129765
208.33,0.009699310860626366
212.414,0.00974277303346352
216.498,0.009789631996594678
220.582,0.009904137508890855
224.667,0.009941373710279127
228.751,0.010040667971424425
232.835,0.01011102421651511
236.919,0.01015492343356142
241.003,0.010300912412919099
245.087,0.010372568346858912
249.171,0.010468550025019492
253.256,0.01051836582583319
257.34,0.010622808771445478
261.424,0.0107045759504449
265.508,0.010770842353535707
269.592,0.010894913546932162
273.676,0.01101480810107545
277.76,0.011138165201896498
281.844,0.011317299067609053
285.928,0.011443742006863074
290.012,0.011619653291618145
294.096,0.01173476127399148
298.18,0.011950204453360687
302.264,0.012136511253267028
306.348,0.012275528401272686
310.431,0.012485124741138266
314.515,0.012660472017171891
318.599,0.012883354389761164
322.683,0.013107529081629933
326.767,0.013315361066921574
330.851,0.013543632358617
334.935,0.013766430111605265
339.019,0.01400672482819772
343.103,0.014226332540785694
347.187,0.014513490325741599
351.271,0.014719843629161976
355.355,0.014948042963871184
359.439,0.015255055003584985
363.523,0.015541349917427989
367.607,0.015746507464849235
371.691,0.015986122891543844
375.775,0.016271633335155848
379.859,0.016500338128584063
383.944,0.016783632527046385
388.028,0.017025604717916476
392.112,0.017296333588436654
396.196,0.017490723975685275
400.28,0.017753466460007278
404.364,0.017985516712981545
408.448,0.018187206970343667
412.532,0.01843950482995347
416.616,0.018599146965551056
420.7,0.01880120238059976
424.784,0.018971862869671695
428.867,0.019115374595861566
432.951,0.019264652020090704
437.035,0.019448208709120434
441.119,0.019554653469989684
445.203,0.01966800930248858
449.287,0.019762106254551014
453.371,0.019864615267183142
457.455,0.019919424265257137
461.539,0.01997211378387685
465.623,0.020073711420752254
469.707,0.020140821778068144
473.791,0.02021672508750886
477.875,0.02026982094846277
481.958,0.020318612405877397
486.043,0.020355497418456506
490.126,0.020377545531342287
494.21,0.020437773655031174
498.294,0.020507661405453237
502.378,0.020528953689557483
506.462,0.020582139839762162
510.547,0.02059361998934323
514.63,0.020632809461985886
518.714,0.020627976160095766
522.798,0.020662145298894367
526.882,0.02072145965256517
530.966,0.020726366785565574
535.05,0.020765075262812845
539.134,0.020782559008207746
543.218,0.020829077529576783
547.302,0.020803804418291823
551.385,0.020844780495748873
555.469,0.020894393776150315
559.553,0.02092638192369451
563.637,0.020935172938266685
567.721,0.02094441549640025
571.805,0.020976885802270244
575.889,0.020990801332948943
579.973,0.020979325935162697
584.057,0.02103418031368922
588.141,0.021069382874453906
592.225,0.021082294384423383
596.309,0.02111620059787333
600.393,0.021108721340300292
604.477,0.021134092355005258
608.561,0.021134698463492894
612.644,0.02116195969063145
616.728,0.02120745532220638
620.812,0.021194964066858262
624.896,0.021200525449603453
628.98,0.021245400652808912
633.064,0.021225132818922385
637.148,0.021253733207612275
641.232,0.021248648866442392
645.316,0.02127815615585379
649.399,0.021345894059453387
653.483,0.02130220111960055
657.567,0.021317776530121953
661.651,0.021383004408521426
665.735,0.02139702394050736
669.82,0.021367226017119864
673.904,0.021412902785993997
677.988,0.02138986582975172
682.072,0.021424826922624703
686.156,0.021460912992490717
690.24,0.02145832248351002
694.324,0.02146862448805661
698.408,0.021517276434100025
702.492,0.021474648804697793
706.577,0.021492421750820168
710.661,0.021531854185060092
714.745,0.021522589283377355
718.829,0.021538182974084566
722.913,0.021579698527198727
726.997,0.021561285372247
731.081,0.0215413676516018
735.165,0.021567895039820987
739.25,0.021601473574053946
743.334,0.02156761544834725
747.418,0.021591404843393926
751.502,0.02158552136839533
755.586,0.02162252485912022
759.67,0.021587888182276808
763.754,0.021607024806166338
767.839,0.0216449365030861
771.923,0.021632575018872793
776.007,0.02162266401230511
780.091,0.021618628360960276
784.175,0.021605875522110927
788.26,0.02163630589814904
792.344,0.02164770600450676
796.429,0.021666510426444928
800.513,0.02163719567783324
804.597,0.021651532546364628
808.681,0.02166178260690021
812.765,0.021624334968475996
816.85,0.021673413262873295
820.934,0.021667696379942623
825.018,0.021662437903802935
829.103,0.021678884249837802
833.187,0.021636935560783152
837.271,0.021658022555130108
841.355,0.02166208380948938
845.44,0.021655037441294007
849.524,0.02171953187568804
853.609,0.021672950583539265
857.693,0.021690238435105202
861.777,0.021692283623426994
865.861,0.021678696209194808
869.946,0.021721179563539663
874.031,0.02173112538726263
878.115,0.02173194894610866
882.199,0.02171572913930977
886.283,0.021727490011705715
890.368,0.021780740248297667
894.452,0.021755010306355724
898.537,0.0217697292482853
902.621,0.02177030944761132
