Time (minutes),Intensity at 485 nm
2.5,6.50E-05
5,5.99E-05
7.5,5.62E-05
10,5.28E-05
12.5,5.37E-05
15,5.35E-05
17.5,5.32E-05
20,5.33E-05
22.5,5.37E-05
25,5.39E-05
27.5,5.38E-05
30,5.37E-05
32.5,5.37E-05
35,5.39E-05
37.5,5.42E-05
40,5.44E-05
42.5,5.43E-05
45,5.44E-05
47.5,5.46E-05
50,5.48E-05
52.5,5.49E-05
55,5.50E-05
57.5,5.50E-05
60,5.51E-05
62.5,5.54E-05
65,5.55E-05
67.5,5.54E-05
70,5.53E-05
72.5,5.52E-05
75,5.52E-05
77.5,5.53E-05
80,5.52E-05
82.5,5.50E-05
85,5.48E-05
87.5,5.49E-05
90,5.50E-05
92.5,5.51E-05
95,5.54E-05
97.5,5.56E-05
100,5.57E-05
102.5,5.55E-05
105,5.55E-05
107.5,5.55E-05
110,5.55E-05
112.5,5.55E-05
115,5.58E-05
117.5,5.62E-05
120,5.65E-05
122.5,5.66E-05
125,5.67E-05
127.5,5.67E-05
130,5.68E-05
132.5,5.69E-05
135,5.70E-05
137.5,5.71E-05
140,5.74E-05
142.5,5.78E-05
145,5.81E-05
147.5,5.82E-05
150,5.84E-05
152.5,5.85E-05
155,5.88E-05
157.5,5.90E-05
160,5.92E-05
162.5,5.91E-05
165,5.93E-05
167.5,5.94E-05
170,5.96E-05
172.5,5.98E-05
175,5.99E-05
177.5,5.97E-05
180,6.03E-05
182.5,6.09E-05
185,6.17E-05
187.5,6.21E-05
190,6.29E-05
192.5,6.33E-05
195,6.41E-05
197.5,6.44E-05
200,6.51E-05
202.5,6.54E-05
205,6.60E-05
207.5,6.64E-05
210,6.70E-05
212.5,6.74E-05
215,6.80E-05
217.5,6.82E-05
220,6.87E-05
222.5,6.89E-05
225,6.95E-05
227.5,6.99E-05
230,7.02E-05
232.5,6.99E-05
235,7.02E-05
237.5,7.04E-05
240,7.15E-05
242.5,7.23E-05
245,7.34E-05
247.5,7.36E-05
250,7.39E-05
252.5,7.36E-05
255,7.39E-05
257.5,7.45E-05
260,7.48E-05
262.5,7.46E-05
265,7.46E-05
267.5,7.48E-05
270,7.48E-05
272.5,7.47E-05
275,7.46E-05
277.5,7.43E-05
280,7.49E-05
282.5,7.57E-05
285,7.64E-05
287.5,7.63E-05
290,7.68E-05
292.5,7.74E-05
295,7.79E-05
297.5,7.80E-05
300,7.83E-05
302.5,7.85E-05
305,7.89E-05
307.5,7.91E-05
310,7.95E-05
312.5,7.98E-05
315,7.97E-05
317.5,7.94E-05
320,7.87E-05
322.5,7.83E-05
325,7.79E-05
327.5,7.79E-05
330,7.86E-05
332.5,7.96E-05
335,8.02E-05
337.5,8.02E-05
340,7.99E-05
342.5,7.95E-05
345,7.95E-05
347.5,8.01E-05
350,8.03E-05
352.5,8.00E-05
355,8.00E-05
357.5,8.02E-05
360,8.04E-05
362.5,8.05E-05
365,8.02E-05
367.5,7.97E-05
370,7.93E-05
372.5,7.94E-05
375,7.88E-05
377.5,7.79E-05
380,7.84E-05
382.5,7.98E-05
385,8.06E-05
387.5,8.02E-05
390,8.02E-05
392.5,8.03E-05
395,8.04E-05
397.5,8.06E-05
400,8.07E-05
402.5,8.09E-05
405,8.05E-05
407.5,8.00E-05
410,7.97E-05
412.5,8.01E-05
415,7.96E-05
417.5,7.88E-05
420,7.79E-05
422.5,7.75E-05
425,7.83E-05
427.5,7.99E-05
430,8.09E-05
432.5,8.05E-05
435,8.04E-05
437.5,8.02E-05
440,8.02E-05
442.5,8.05E-05
445,8.04E-05
447.5,8.00E-05
450,7.99E-05
452.5,8.03E-05
455,7.97E-05
457.5,7.88E-05
460,7.81E-05
462.5,7.82E-05
465,7.80E-05
467.5,7.76E-05
470,7.85E-05
472.5,7.99E-05
475,8.07E-05
477.5,8.02E-05
480,8.00E-05
482.5,8.01E-05
485,7.99E-05
487.5,7.98E-05
490,7.91E-05
492.5,7.85E-05
495,7.77E-05
497.5,7.70E-05
500,7.78E-05
502.5,7.94E-05
505,8.06E-05
507.5,8.06E-05
510,8.06E-05
512.5,8.04E-05
515,8.00E-05
517.5,7.97E-05
520,7.97E-05
522.5,8.01E-05
525,8.00E-05
527.5,7.97E-05
530,7.89E-05
532.5,7.80E-05
535,7.80E-05
537.5,7.88E-05
540,7.96E-05
542.5,7.98E-05
545,8.03E-05
547.5,8.06E-05
550,8.07E-05
552.5,8.05E-05
555,8.01E-05
557.5,7.96E-05
560,7.95E-05
562.5,7.99E-05
565,7.99E-05
567.5,7.96E-05
570,7.89E-05
572.5,7.84E-05
575,7.77E-05
577.5,7.71E-05
580,7.79E-05
582.5,7.95E-05
585,8.04E-05
587.5,7.99E-05
590,7.99E-05
592.5,8.01E-05
595,8.03E-05
597.5,8.03E-05
600,8.03E-05
602.5,8.03E-05
605,8.01E-05
607.5,7.98E-05
610,7.93E-05
612.5,7.91E-05
615,7.84E-05
617.5,7.77E-05
620,7.82E-05
622.5,7.96E-05
625,8.06E-05
627.5,8.03E-05
630,8.05E-05
632.5,8.08E-05
635,8.04E-05
637.5,7.97E-05
640,7.96E-05
