Time (minutes),Intensity at 485 nm
2.5,9.20E-05
5,7.59E-05
7.5,6.43E-05
10,5.38E-05
12.5,5.66E-05
15,5.69E-05
17.5,5.71E-05
20,5.71E-05
22.5,5.68E-05
25,5.66E-05
27.5,5.66E-05
30,5.66E-05
32.5,5.68E-05
35,5.68E-05
37.5,5.67E-05
40,5.67E-05
42.5,5.67E-05
45,5.67E-05
47.5,5.68E-05
50,5.68E-05
52.5,5.68E-05
55,5.68E-05
57.5,5.67E-05
60,5.67E-05
62.5,5.68E-05
65,5.71E-05
67.5,5.74E-05
70,5.75E-05
72.5,5.74E-05
75,5.70E-05
77.5,5.65E-05
80,5.62E-05
82.5,5.63E-05
85,5.64E-05
87.5,5.65E-05
90,5.66E-05
92.5,5.66E-05
95,5.69E-05
97.5,5.75E-05
100,5.75E-05
102.5,5.71E-05
105,5.70E-05
107.5,5.72E-05
110,5.75E-05
112.5,5.75E-05
115,5.76E-05
117.5,5.76E-05
120,5.79E-05
122.5,5.78E-05
125,5.97E-05
127.5,6.26E-05
130,6.28E-05
132.5,6.03E-05
135,5.87E-05
137.5,5.89E-05
140,5.87E-05
142.5,5.85E-05
145,5.87E-05
147.5,5.90E-05
150,5.93E-05
152.5,5.94E-05
155,5.92E-05
157.5,5.89E-05
160,5.88E-05
162.5,5.90E-05
165,5.91E-05
167.5,5.90E-05
170,5.91E-05
172.5,5.94E-05
175,5.91E-05
177.5,5.86E-05
180,5.82E-05
182.5,5.84E-05
185,5.83E-05
187.5,5.82E-05
190,5.80E-05
192.5,5.79E-05
195,5.80E-05
197.5,5.82E-05
200,5.86E-05
202.5,5.89E-05
205,5.93E-05
207.5,5.93E-05
210,5.94E-05
212.5,5.95E-05
215,5.95E-05
217.5,5.96E-05
220,5.96E-05
222.5,5.97E-05
225,5.96E-05
227.5,5.94E-05
230,5.91E-05
232.5,5.89E-05
235,5.90E-05
237.5,5.93E-05
240,5.99E-05
242.5,6.04E-05
245,6.10E-05
247.5,6.12E-05
250,6.13E-05
252.5,6.10E-05
255,6.11E-05
257.5,6.16E-05
260,6.18E-05
262.5,6.15E-05
265,6.14E-05
267.5,6.15E-05
270,6.15E-05
272.5,6.14E-05
275,6.16E-05
277.5,6.20E-05
280,6.22E-05
282.5,6.20E-05
285,6.21E-05
287.5,6.23E-05
290,6.25E-05
292.5,6.25E-05
295,6.27E-05
297.5,6.29E-05
300,6.33E-05
302.5,6.34E-05
305,6.37E-05
307.5,6.38E-05
310,6.38E-05
312.5,6.37E-05
315,6.37E-05
317.5,6.38E-05
320,6.36E-05
322.5,6.32E-05
325,6.34E-05
327.5,6.40E-05
330,6.42E-05
332.5,6.39E-05
335,6.38E-05
337.5,6.37E-05
340,6.41E-05
342.5,6.45E-05
345,6.50E-05
347.5,6.51E-05
350,6.55E-05
352.5,6.58E-05
355,6.61E-05
357.5,6.61E-05
360,6.67E-05
362.5,6.77E-05
