q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min
0.02731728,0.27864689,0.28840461,0.27614058,0.28686426,0.29562817,0.29374413,0.31024397,0.33141747,0.3380193,0.38225232
0.02797528,0.26955694,0.27210255,0.270084,0.28860943,0.26576905,0.2961347,0.2938093,0.3113383,0.34008393,0.34957203
0.02863287,0.27698125,0.26976432,0.26293259,0.28041798,0.27922604,0.28257203,0.29246895,0.30884678,0.33499084,0.36009659
0.02932927,0.26598363,0.28408524,0.2538898,0.26660429,0.25970671,0.29571639,0.2789067,0.30852488,0.31651086,0.34111942
0.03003479,0.26073806,0.25801599,0.25211919,0.2475399,0.2512222,0.26866526,0.26754845,0.28912409,0.30801016,0.32835788
0.03072996,0.25028921,0.25736816,0.24594369,0.26765715,0.24432282,0.25368728,0.26978722,0.29239012,0.29804128,0.33177405
0.03142813,0.25803538,0.24417592,0.24651107,0.26512042,0.26209853,0.26047097,0.26268141,0.28205661,0.29956716,0.32048871
0.0321637,0.22888378,0.24855562,0.2568049,0.26062005,0.26187406,0.26644055,0.26481913,0.26977341,0.29703817,0.30638118
0.03290714,0.24086708,0.24068086,0.23848519,0.23696314,0.23860093,0.26279466,0.26106017,0.26818664,0.290082,0.30202112
0.03365084,0.24440476,0.22342995,0.24384955,0.24471624,0.25155648,0.25028368,0.24075191,0.26338447,0.30035239,0.2924633
0.03440914,0.22406912,0.22732002,0.21718429,0.22903328,0.22853795,0.24621425,0.22663255,0.2430746,0.26818598,0.28589297
0.03518376,0.22047427,0.23642422,0.21585585,0.22096341,0.21874104,0.23243539,0.25806513,0.2347773,0.25854002,0.2769748
0.03597459,0.22254542,0.23003879,0.22608614,0.2394246,0.23472779,0.23728029,0.25605669,0.24901849,0.2584133,0.26703698
0.03677923,0.20262719,0.22051114,0.22573967,0.21452151,0.22262126,0.2395904,0.23789493,0.24572358,0.2348135,0.27177272
0.03759776,0.20792455,0.22071249,0.21158047,0.19995703,0.21027033,0.22588736,0.22361244,0.2239628,0.24625206,0.26654051
0.03842509,0.23351821,0.22097063,0.17396801,0.19946227,0.24129233,0.25181764,0.20153672,0.20407513,0.23210361,0.26894384
0.03926294,0.20937533,0.21420789,0.18484023,0.18280533,0.25027926,0.2068121,0.22578099,0.23494458,0.23639996,0.25200816
0.04009326,0.24400666,0.2209263,0.1738489,0.15050531,0.18795062,0.21106236,0.23513759,0.20283165,0.26013825,0.25086527
0.04096423,0.21804422,0.16498457,0.22300183,0.26103757,0.22584483,0.2337817,0.2220963,0.271656,0.2315213,0.23828845
0.04169562,0.25736472,0.0616759,0.15165043,0.35270194,0.29786989,0.23542201,0.16117091,0.23788531,0.17084493,0.26439485
0.04297146,0.19797552,0.19238928,0.20753434,0.18943621,0.21211893,0.20345562,0.21933569,0.22606151,0.23918569,0.24342228
0.04450193,0.20243079,0.19343325,0.19598522,0.19986246,0.19552231,0.20674967,0.19806729,0.20856775,0.21331592,0.22579397
0.04600695,0.1928566,0.19095938,0.1980096,0.19507009,0.19474906,0.20570473,0.18227479,0.19387884,0.21473038,0.21412119
0.04751264,0.19105608,0.20237524,0.19590633,0.19191708,0.19100525,0.18472223,0.18313747,0.19670873,0.2173302,0.20020499
0.04922523,0.17831886,0.1897734,0.1841074,0.1837197,0.18879949,0.19403055,0.18021516,0.19904923,0.20659554,0.20220713
0.05055007,0.18232504,0.18472354,0.18664337,0.19792136,0.19574437,0.18573241,0.18433026,0.19827817,0.20417879,0.21719822
0.05225422,0.18762965,0.18530021,0.18073982,0.18733526,0.17602435,0.18637621,0.20059464,0.18542776,0.18659903,0.19958679
0.05412218,0.17660113,0.18253396,0.18228445,0.17593172,0.17617801,0.17714805,0.18721771,0.19406588,0.18241548,0.19267449
0.05536479,0.17461499,0.17496546,0.17561897,0.17624111,0.17371667,0.17630059,0.17875233,0.18227109,0.19444111,0.19179255
0.0570447,0.1797547,0.16899293,0.17521386,0.17456233,0.17525954,0.17778818,0.18246728,0.17632185,0.19729361,0.18988744
0.05879306,0.16739139,0.17267193,0.16274299,0.18125959,0.17658683,0.17549445,0.16729028,0.17655831,0.17713113,0.17836411
0.06022322,0.17142131,0.17328447,0.17282351,0.18179651,0.16785142,0.18065625,0.17810886,0.17718259,0.18009699,0.18833949
0.06196445,0.16916112,0.17326872,0.17332598,0.16743661,0.16567231,0.16703942,0.17525171,0.17112936,0.17870647,0.18434928
0.0636066,0.16678489,0.17186305,0.16376192,0.17171046,0.16658368,0.1789951,0.17606853,0.18686836,0.17444073,0.19170701
0.06529169,0.17061743,0.17359352,0.16755143,0.16910699,0.17244283,0.1714691,0.17185614,0.17786691,0.17843588,0.1881225
0.06721684,0.16375407,0.17156297,0.16641745,0.17278823,0.16539455,0.16541938,0.17089431,0.17331506,0.175827,0.16719312
0.06910303,0.16762161,0.17058563,0.16572544,0.1732033,0.1676539,0.16160937,0.17310799,0.17077804,0.17537667,0.17442964
0.07069101,0.16069008,0.16731309,0.16122857,0.16255119,0.1633547,0.16527151,0.16238455,0.17025161,0.16735258,0.17897526
0.07266582,0.1617807,0.17145456,0.16791973,0.16742661,0.16442312,0.16963788,0.1664801,0.1634469,0.17441167,0.16665174
0.07470853,0.16876431,0.16619475,0.17547011,0.16999064,0.16446588,0.16486073,0.16379108,0.16611501,0.17250723,0.16872938
0.07633729,0.15572547,0.16570826,0.16189042,0.1700114,0.16405712,0.16991793,0.16215589,0.16733909,0.1609785,0.1769999
0.07828074,0.15526904,0.15926448,0.16588198,0.16263286,0.1603611,0.16276754,0.15587995,0.16040039,0.16640957,0.16624436
0.08033036,0.15569448,0.16558944,0.16314426,0.16922736,0.16631362,0.16599507,0.16327118,0.16933448,0.16612732,0.16814581
0.08215963,0.16533323,0.15986015,0.15938592,0.16330478,0.15982604,0.16724558,0.1620153,0.16329834,0.16320116,0.16121837
0.08418363,0.16000567,0.16078578,0.16359561,0.16467032,0.15642221,0.16822702,0.15922119,0.15992946,0.16197346,0.1597667
0.08612058,0.16023688,0.15804184,0.16104717,0.16675423,0.16004419,0.16849817,0.1594148,0.16675719,0.16573723,0.15664552
0.08824121,0.15985698,0.15618596,0.16496726,0.16450542,0.15794478,0.16353349,0.15855053,0.16041739,0.16311214,0.16851902
0.09055556,0.16382621,0.15799625,0.15542864,0.16469966,0.1606459,0.16335374,0.15778172,0.16715005,0.15975924,0.16395981
0.09254216,0.15873594,0.1612248,0.15989769,0.16092559,0.15535327,0.1549918,0.15869985,0.15572445,0.16396116,0.16099158
0.09474272,0.15510047,0.16186514,0.15489044,0.15917525,0.16037672,0.16457608,0.15772541,0.15694843,0.16157323,0.15750546
0.09680092,0.1553622,0.15857904,0.15993073,0.16459544,0.16290262,0.16177137,0.15734418,0.15846087,0.16251101,0.15877703
0.09904113,0.16114427,0.1557924,0.15516964,0.16450155,0.15884436,0.16171896,0.15937179,0.15863607,0.15965192,0.16438819
0.10143902,0.15570345,0.15861373,0.15847923,0.16055293,0.15607077,0.16056691,0.15537417,0.15451902,0.15736523,0.15923767
0.10369588,0.15818155,0.16138372,0.15275544,0.16318638,0.15781318,0.15347778,0.15778218,0.15661691,0.15863656,0.15942727
0.10614793,0.15265631,0.15597984,0.15564228,0.16123951,0.15995146,0.16244525,0.15754931,0.15789286,0.15628168,0.15737526
0.10836079,0.15638395,0.15872844,0.15445058,0.16031042,0.15705673,0.15813107,0.15863162,0.15406275,0.15801742,0.15574413
0.11099586,0.15614919,0.1569525,0.1580876,0.16017294,0.15892987,0.16064466,0.15780319,0.16176478,0.15881856,0.15653836
0.11320994,0.15839477,0.15605657,0.1587795,0.15623378,0.15826912,0.1610262,0.15604101,0.15554974,0.15732904,0.16022322
0.1157677,0.15858944,0.15836231,0.15762134,0.16098109,0.15848984,0.16124688,0.15437641,0.15766492,0.15643886,0.15686967
0.11821218,0.1566292,0.15540391,0.15567761,0.15978708,0.15092481,0.15645209,0.15531266,0.15754699,0.15974937,0.15807534
0.12085824,0.15560748,0.15650094,0.15650512,0.15654733,0.156051,0.1596696,0.15423604,0.15542339,0.15253439,0.15780423
0.12347188,0.15517398,0.15637994,0.15903582,0.1581274,0.15284539,0.16033885,0.15289398,0.15506298,0.15572694,0.15600158
0.12624328,0.15673072,0.15369178,0.15409746,0.15740274,0.15609374,0.16097633,0.15307246,0.15630396,0.15814676,0.1570904
0.12883343,0.15579877,0.15536132,0.15528349,0.15886566,0.1538697,0.16218427,0.15720049,0.15365655,0.15527578,0.15336123
0.13183088,0.15237081,0.15074674,0.15473182,0.15231577,0.15625529,0.15629863,0.15192044,0.15660319,0.15796829,0.15190551
0.13451429,0.15594508,0.15264351,0.1562993,0.15838177,0.15646606,0.15632669,0.15477761,0.15536948,0.15468478,0.15349038
