q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min
0.02288421,0.28435646,0.30612704,0.34491467,0.39076331,0.41353669,0.40567345,0.41026104,0.40823126,0.4053227,0.40178974,0.40228803,0.4007339,0.41369835,0.3971294,0.40622487,0.39576113,0.42604098,0.40212172,0.40616959,0.41792393,0.41613646,0.42456709,0.41258856,0.40440078,0.39978656,0.41533985,0.41523832,0.41306419,0.41505567,0.42878642,0.39069392,0.41253885,0.40720885,0.41300333,0.40057054,0.44038708,0.43887239,0.44545439,0.46470926,0.44501579,0.45692783,0.47431537,0.48590742,0.48126822,0.49361988,0.49556767,0.53186791
0.02348553,0.26286576,0.28815198,0.31968347,0.35222129,0.3710027,0.37101679,0.37044308,0.38604719,0.38243933,0.3804032,0.37849929,0.37914976,0.38125143,0.39739144,0.3819815,0.37298723,0.39228578,0.39011355,0.37697945,0.37477614,0.37344612,0.39219678,0.3995207,0.38373413,0.36861664,0.37229457,0.39943142,0.37067869,0.37586103,0.36822766,0.39312611,0.38167733,0.40085379,0.40097766,0.39866958,0.39256693,0.39218278,0.40994261,0.43130421,0.43714916,0.44428688,0.44361413,0.44030588,0.45090696,0.47646911,0.47850164,0.50376319
0.02407168,0.2724463,0.27624811,0.29340547,0.34090721,0.36405454,0.36222917,0.35977659,0.35664606,0.36947563,0.35692458,0.34922079,0.34644876,0.35608063,0.3655643,0.38031992,0.37396995,0.37392771,0.36391992,0.36131327,0.36418748,0.36325412,0.38045677,0.37385522,0.36882734,0.36756087,0.36556553,0.37441802,0.36837909,0.38377849,0.36924683,0.38945021,0.36245923,0.37585336,0.38713963,0.37819293,0.38262106,0.40621529,0.39689107,0.40450749,0.41068983,0.42795058,0.43735349,0.42839648,0.45397781,0.44102163,0.47748541,0.48865536
0.02470939,0.26426382,0.26294064,0.2900224,0.32408013,0.3230648,0.32157172,0.3277735,0.3203363,0.33392792,0.34875858,0.31885192,0.33678699,0.34908219,0.34198131,0.3398187,0.33870203,0.3464629,0.35444071,0.35940561,0.33827558,0.34551407,0.34135485,0.34140929,0.33513782,0.35669178,0.3469159,0.36334924,0.34389875,0.3601449,0.36002706,0.36125618,0.35469462,0.36442022,0.37016231,0.35641283,0.36831936,0.37844372,0.37485838,0.38428029,0.38929276,0.40423383,0.41414849,0.40714296,0.41779628,0.42919085,0.44304579,0.4349029
0.02538793,0.22744161,0.24768727,0.27592621,0.30834236,0.31139539,0.31350278,0.28714602,0.30863825,0.30978919,0.30578896,0.31472157,0.32905542,0.32168833,0.31559203,0.32956805,0.31095384,0.32407265,0.3255272,0.32370107,0.32486989,0.33454097,0.32898118,0.33124257,0.32055938,0.33940552,0.33849709,0.34382344,0.32665214,0.35620002,0.34350792,0.34038534,0.33320404,0.34758007,0.34960114,0.36035784,0.37023896,0.36320203,0.37667937,0.38607751,0.38636439,0.38745045,0.40324082,0.39829438,0.41554297,0.41925583,0.41493069,0.41963841
0.02603531,0.23592804,0.24305066,0.26067487,0.28326718,0.28429607,0.28764371,0.29048288,0.27633064,0.28071738,0.28668136,0.28873369,0.28683104,0.29734396,0.30444204,0.29684754,0.30010347,0.29969286,0.31228548,0.32994032,0.29882018,0.31102932,0.30173155,0.31773876,0.31170002,0.30715518,0.31799435,0.32251074,0.3120985,0.32603958,0.32304001,0.31696889,0.32287015,0.3484832,0.34649843,0.32815291,0.33446211,0.34047111,0.34894869,0.35856736,0.36289256,0.3739927,0.36744847,0.38467031,0.38463553,0.39465956,0.40014087,0.3722976
0.02666269,0.21277301,0.22333319,0.24073572,0.27495462,0.26365489,0.25829051,0.26070458,0.26307441,0.26247765,0.25978176,0.25428524,0.28175317,0.29363198,0.2719898,0.28213799,0.2879842,0.28394285,0.28851725,0.29766499,0.29393077,0.29926775,0.28539965,0.30031609,0.29954388,0.29927586,0.28860087,0.30089824,0.29466609,0.31281386,0.33131089,0.30672357,0.31146768,0.31220253,0.31219532,0.32164985,0.31995894,0.33379484,0.3288669,0.3371895,0.33102837,0.33689339,0.33606443,0.34872897,0.35727387,0.35654232,0.37386613,0.41144928
0.02731728,0.20069306,0.21533398,0.24124939,0.24058958,0.25828056,0.24980925,0.2472407,0.23896083,0.2644454,0.24872255,0.23791082,0.25093363,0.26627208,0.26264862,0.26361736,0.26248846,0.2840229,0.27425119,0.2640851,0.27067503,0.27409058,0.27123938,0.28039836,0.27342367,0.26646508,0.28899233,0.28530545,0.28912899,0.3007917,0.30087108,0.28861279,0.28182668,0.29131387,0.30158371,0.30149678,0.30035451,0.32281056,0.31912952,0.31423913,0.31890008,0.3256934,0.33080937,0.3463648,0.3526353,0.33055378,0.37054427,0.37287049
0.02797528,0.20416021,0.20590155,0.22755847,0.23786584,0.24081384,0.23934687,0.23218017,0.23358079,0.24721341,0.24982344,0.24145187,0.24694149,0.24864463,0.24554528,0.25911637,0.25830379,0.25832922,0.26367569,0.25214264,0.26473388,0.26397521,0.2718422,0.28298038,0.26633072,0.26105892,0.26930185,0.28287706,0.26395955,0.28034234,0.28363417,0.28041708,0.27580671,0.27544941,0.29203173,0.28860476,0.3062174,0.30427767,0.2972596,0.31585974,0.33216805,0.33759122,0.32434843,0.32303205,0.3404475,0.33665078,0.35759711,0.3408331
0.02863287,0.19661739,0.19479125,0.21156812,0.22036799,0.20910631,0.22109256,0.21476103,0.20975135,0.2275906,0.22161324,0.22189281,0.22669788,0.22783597,0.22662385,0.23963979,0.24013487,0.24205551,0.23596383,0.24186733,0.24231558,0.24972926,0.2519391,0.25201456,0.25371241,0.24762036,0.25895302,0.25881595,0.24251502,0.26728069,0.27086084,0.26036371,0.2525408,0.26061733,0.27797896,0.27716302,0.28454879,0.28169579,0.29358802,0.30900063,0.29621711,0.29301516,0.31118394,0.301719,0.32517051,0.32599191,0.33242944,0.32567007
