q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min
0.01414555,0.01756759,0.01759669,0.01860381,0.02093609,0.01989787,0.01834193,0.01799571,0.01740052,0.01753627,0.01733348,0.01730597,0.01703218,0.01740468,0.0170544,0.01702015,0.01691748,0.01681576,0.01696893,0.01687332,0.01670227,0.01666568,0.0166074,0.01723384,0.01676277,0.01704088,0.0169315,0.01709698,0.0167899,0.01700017,0.01711803,0.01742908,0.01733549,0.01763225,0.01775011,0.01756918,0.01824241,0.01841195,0.01858955,0.01908591,0.01920644,0.01927749,0.01979267,0.0196974,0.01994796,0.02008983,0.02023993,0.04502527
0.01464353,0.01654425,0.01717315,0.01819115,0.01994798,0.0194367,0.01854833,0.01813848,0.01748673,0.01764498,0.01732852,0.01721595,0.01719723,0.01683389,0.01725327,0.01669106,0.01660806,0.01701317,0.0167115,0.0167584,0.01668113,0.0164863,0.01642108,0.01661982,0.0167536,0.01665524,0.01672004,0.01678896,0.01673296,0.01679235,0.01705416,0.01719075,0.01717511,0.01743115,0.01788762,0.01734261,0.01801936,0.01839167,0.01832987,0.01872738,0.01852984,0.01891431,0.01861519,0.01951297,0.01945227,0.01967549,0.01970019,0.04371035
0.01515718,0.01543467,0.01567393,0.0168761,0.01828607,0.01794356,0.01706123,0.0167325,0.0164484,0.01636311,0.01614429,0.01596102,0.01581751,0.01591913,0.01587776,0.01554016,0.01534685,0.01569708,0.01569951,0.01551426,0.0156049,0.01528682,0.01572058,0.0155741,0.01541687,0.01550033,0.01552793,0.0156184,0.01550129,0.01568662,0.01560541,0.01569283,0.01620548,0.01591726,0.0159655,0.01620263,0.01674324,0.01669712,0.01690421,0.017314,0.01701856,0.01738383,0.01740724,0.01758516,0.01788682,0.01797613,0.01826767,0.03932971
0.0156715,0.01415737,0.01455346,0.01546393,0.01707382,0.01671546,0.01607453,0.01594709,0.01544294,0.01562933,0.01547308,0.01495257,0.01503981,0.0150949,0.01512298,0.01500209,0.01450195,0.01481359,0.01469278,0.01467269,0.01474291,0.01487523,0.01481347,0.01459733,0.01443592,0.01470793,0.01475502,0.01478005,0.0145502,0.01459534,0.01498643,0.01487635,0.01458546,0.01507683,0.01500152,0.01520324,0.01517772,0.01559548,0.01568912,0.01593329,0.01590745,0.01616807,0.01611648,0.01621443,0.01640179,0.01681596,0.0169079,0.03674883
0.01620231,0.01462071,0.01501843,0.01611787,0.01727086,0.0174171,0.01672271,0.01631611,0.01608522,0.01610832,0.01564882,0.01545001,0.01571559,0.01598325,0.01557469,0.01558239,0.01542522,0.01552858,0.01526827,0.01551316,0.01512102,0.01495321,0.01528536,0.0152392,0.01503232,0.01502222,0.01517099,0.01528533,0.01502082,0.01526919,0.01505874,0.01529843,0.01521313,0.01572995,0.01574322,0.01556815,0.01612007,0.01626663,0.01620509,0.01662298,0.01671216,0.01662785,0.01676458,0.01681864,0.01708083,0.01760195,0.01747629,0.03767465
0.01677153,0.01281423,0.01311071,0.01394044,0.01533931,0.01553982,0.01473398,0.01453409,0.01433081,0.01459147,0.01427066,0.01395192,0.01414068,0.01409276,0.01396576,0.01398877,0.01379553,0.01402395,0.01394705,0.01389643,0.01357434,0.01363334,0.01354379,0.01376045,0.01366808,0.01357075,0.01375664,0.01369076,0.01345314,0.01342589,0.01349533,0.01350849,0.01381838,0.01393752,0.01419383,0.01405677,0.01422249,0.01427243,0.01435464,0.01469849,0.01470181,0.0148319,0.01504461,0.01514742,0.01531949,0.01534405,0.01566245,0.03353361
0.01732732,0.01277019,0.01288845,0.01380892,0.01481804,0.01488922,0.01477579,0.01433525,0.01442934,0.0142779,0.01406259,0.01390737,0.01391055,0.01386014,0.01361761,0.01366918,0.01353587,0.01370966,0.01382584,0.01375018,0.01357591,0.01361686,0.01353158,0.01357116,0.01342613,0.01336467,0.01335322,0.01344013,0.01346534,0.01331573,0.0133564,0.01360012,0.01352995,0.01346573,0.01348631,0.01351278,0.01388127,0.0140489,0.01404703,0.01442062,0.01437058,0.01454526,0.01440943,0.01454185,0.01479017,0.01492347,0.01520229,0.03263486
0.01787288,0.01282051,0.0130582,0.01398136,0.01465217,0.01511729,0.01489608,0.01472792,0.01458066,0.01467148,0.01445657,0.0142429,0.01442363,0.014352,0.01417728,0.01433527,0.01404003,0.01403962,0.01402419,0.01399277,0.01396152,0.01394392,0.01386705,0.01366768,0.01383667,0.013809,0.01373891,0.01387399,0.01394359,0.01400122,0.01384882,0.01391355,0.01380481,0.01388316,0.01406047,0.0139394,0.01433118,0.01443712,0.01467172,0.01478277,0.01459282,0.01483224,0.01487117,0.01508668,0.01520711,0.01514708,0.01540245,0.03304057
0.01841555,0.01216379,0.01237691,0.01301889,0.01398974,0.01447297,0.01439439,0.01401568,0.01395478,0.01408626,0.01376057,0.01379962,0.01383486,0.013674,0.01346369,0.01367584,0.01336008,0.01324472,0.01356824,0.01357379,0.0134947,0.01351226,0.01343122,0.01335658,0.01344731,0.0133869,0.01303899,0.01349083,0.01325669,0.01319129,0.01329189,0.01331039,0.01336432,0.01343392,0.01340519,0.01342142,0.01367197,0.01375986,0.01400558,0.01415282,0.01411358,0.01411987,0.01438127,0.01437871,0.01445461,0.0146683,0.01484451,0.03149173
0.01894984,0.01143796,0.01181066,0.01248187,0.01342745,0.01360309,0.01371618,0.01359467,0.0133,0.01320942,0.0131769,0.01308224,0.01329765,0.01313537,0.01303415,0.01303062,0.01290147,0.01300664,0.01283885,0.01280034,0.01270126,0.01265404,0.0127293,0.01271728,0.0127795,0.01261668,0.01253171,0.0127563,0.01259427,0.01282215,0.01270183,0.01250972,0.01256955,0.0128142,0.01277943,0.01280525,0.01316573,0.01327634,0.01315536,0.01335828,0.01332306,0.01333618,0.01355901,0.01368001,0.01393128,0.01370784,0.01396196,0.02972649
0.01948996,0.01065431,0.0109561,0.01150371,0.01234085,0.01246492,0.01242855,0.01254853,0.01232409,0.01242648,0.0124252,0.01201308,0.0121892,0.01221906,0.01210828,0.01212609,0.01187363,0.0119886,0.01214029,0.01205337,0.01181986,0.01193943,0.01182766,0.01168002,0.01190399,0.01199327,0.01196863,0.01189366,0.01184347,0.01189783,0.01194789,0.01176194,0.01168512,0.01188975,0.01204754,0.01196764,0.0120027,0.01210413,0.01221608,0.0124526,0.01234703,0.01249966,0.01266138,0.012795,0.01263813,0.01268024,0.01311566,0.02739869
0.02007657,0.0107484,0.01092694,0.01156511,0.01214825,0.01245811,0.01248953,0.01251347,0.01228867,0.01220824,0.0120547,0.01193841,0.01243314,0.01234489,0.01221747,0.01201136,0.01192735,0.01201785,0.01188051,0.01215114,0.01206718,0.01195793,0.01189925,0.01203975,0.01192389,0.01192864,0.01178467,0.01218527,0.01179234,0.01185527,0.0118779,0.01189653,0.01177753,0.01189832,0.01188555,0.01201824,0.01206663,0.0123903,0.01229925,0.01238758,0.0122361,0.01263068,0.01255622,0.01256673,0.01286792,0.01315173,0.01295518,0.02877483
0.02068736,0.01049651,0.0105666,0.01112803,0.01181404,0.01217335,0.01209425,0.01253492,0.0120602,0.0121828,0.01177045,0.01179949,0.01189156,0.01208617,0.01210589,0.01188571,0.01176102,0.01192716,0.01181739,0.01181801,0.01185816,0.01183831,0.01174377,0.01188527,0.01160768,0.01180924,0.01172578,0.01177362,0.01161124,0.01146984,0.01153979,0.01180141,0.01171302,0.0119259,0.011586,0.01176414,0.0121239,0.01183569,0.01210867,0.01225252,0.01228935,0.01229152,0.01248096,0.01232638,0.01249778,0.01266241,0.01278746,0.02756585
0.0213036,0.01016608,0.01028968,0.01069004,0.01138409,0.01168135,0.01175747,0.01167541,0.01153178,0.01164299,0.0115494,0.0111389,0.01146824,0.01164855,0.01156913,0.01136255,0.01120109,0.01151238,0.01127403,0.01150206,0.01114454,0.0112889,0.01140183,0.0114053,0.01129729,0.01104394,0.01121965,0.01146527,0.01122727,0.01140128,0.01120239,0.01117626,0.01119266,0.01130821,0.01147904,0.01141545,0.01166883,0.01162576,0.01148345,0.01198751,0.01182599,0.01163859,0.01191359,0.01211493,0.01199584,0.01219452,0.01225366,0.02625777
0.0218995,0.00960878,0.00989943,0.01035975,0.01076227,0.01104231,0.01105118,0.01097541,0.01089497,0.01087617,0.01092976,0.01078983,0.01107059,0.01096434,0.01096032,0.01081802,0.01071568,0.01087129,0.01085601,0.01087099,0.01082881,0.01085297,0.01085683,0.01087986,0.01075514,0.01073793,0.01070415,0.01085298,0.01067205,0.01075649,0.0108607,0.01084848,0.01063445,0.01083664,0.01095322,0.01102744,0.01094515,0.01090934,0.01087355,0.01114513,0.01122794,0.01120926,0.01135085,0.01138246,0.0115727,0.01145464,0.01158438,0.02471103
0.02250474,0.00885151,0.0091068,0.00938956,0.00977051,0.0099446,0.01006286,0.01011861,0.0100775,0.01003375,0.00989704,0.01006058,0.01012905,0.01014413,0.01009479,0.00996445,0.0099599,0.01001017,0.01008518,0.00999961,0.0099679,0.00998112,0.01000879,0.01013985,0.00999491,0.00993677,0.01003702,0.00985537,0.00998463,0.01004743,0.00984236,0.00986396,0.00999594,0.00997205,0.00994046,0.00998069,0.01019482,0.01011444,0.01033144,0.01048679,0.01043896,0.01052207,0.01051924,0.01062909,0.01059719,0.01059056,0.01070026,0.02358071
0.02314241,0.0086981,0.00888924,0.00922576,0.00960039,0.00980926,0.00971376,0.00978051,0.00973052,0.00973462,0.00967715,0.00965586,0.00968901,0.00980522,0.00968169,0.00973086,0.00960728,0.00991366,0.00971511,0.00977184,0.00981764,0.00981098,0.00986985,0.00980161,0.00971527,0.00970045,0.00981878,0.00983984,0.00976163,0.0098398,0.00991713,0.00961167,0.00978492,0.00976767,0.00981258,0.00966609,0.01004183,0.01001724,0.01005204,0.01024744,0.01004612,0.01013732,0.01026619,0.01035552,0.01033111,0.01041142,0.01044072,0.02268056
0.02375742,0.00869766,0.00892446,0.00920895,0.00947786,0.0096616,0.00963151,0.00965617,0.00975531,0.00975072,0.00970717,0.00966582,0.00971414,0.00974319,0.00989176,0.00973717,0.00962238,0.00984458,0.009825,0.00973604,0.00967042,0.0096635,0.00981215,0.00990098,0.00975019,0.0096463,0.00966351,0.00991901,0.00961583,0.00971819,0.00962159,0.00984078,0.00973502,0.00992226,0.00992274,0.0098597,0.00985826,0.00984301,0.00996999,0.01019171,0.01019421,0.01024812,0.01023332,0.01020635,0.01030188,0.01049163,0.01052133,0.02262504
0.02435559,0.00862332,0.00865212,0.00880685,0.0092131,0.00943304,0.00939021,0.00939829,0.00933651,0.00947434,0.00933877,0.00924934,0.0092676,0.00935954,0.00945626,0.00955445,0.00946518,0.00952158,0.00943368,0.00943242,0.00941116,0.00940939,0.00954434,0.00951766,0.00945635,0.00946692,0.00944052,0.00953974,0.00942933,0.00961626,0.00946304,0.00964213,0.00940557,0.00954505,0.00963594,0.00951803,0.00960772,0.0097908,0.00969355,0.00980234,0.00980984,0.00994434,0.01001075,0.00993838,0.01015574,0.0100408,0.01033971,0.02199791
0.02498771,0.00778896,0.0077697,0.0079935,0.00826042,0.0082703,0.00823046,0.00830631,0.0082208,0.00835137,0.00844383,0.0081857,0.00836708,0.00847048,0.00842801,0.00838884,0.00834719,0.00845646,0.00851939,0.00857756,0.00837148,0.0084319,0.00838988,0.00841568,0.00835143,0.00854116,0.00845398,0.00860436,0.00839958,0.00857653,0.00854955,0.00856741,0.00850626,0.00860769,0.00864801,0.0085024,0.00863925,0.00870743,0.00866461,0.00877538,0.00877227,0.00888423,0.00894794,0.00889581,0.00898672,0.00905714,0.00917094,0.01910038
0.0256409,0.00741902,0.00759185,0.00783253,0.00808766,0.00812951,0.00812211,0.00792775,0.00807894,0.00811153,0.00805732,0.00810782,0.0082584,0.00820722,0.00817109,0.00826125,0.00808198,0.00823621,0.00824386,0.00824912,0.00822068,0.00829983,0.0082484,0.00828971,0.00818966,0.0083609,0.0083417,0.00840483,0.00821733,0.00850278,0.00837458,0.00835623,0.0082923,0.00842859,0.00844158,0.00848756,0.00860949,0.00854512,0.00863351,0.008744,0.00870562,0.00871282,0.00882263,0.00878476,0.00892568,0.00893802,0.0089186,0.01873789
