q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min,240 min,245 min,250 min,255 min,260 min,265 min,270 min,275 min,280 min,285 min,290 min,295 min,300 min,305 min,310 min,315 min,320 min,325 min,330 min,335 min,340 min,345 min,350 min,355 min,360 min,365 min
0.05225422,0.05943136,0.06682107,0.06282395,0.06700798,0.06185284,0.06776701,0.06506608,0.06934854,0.06470094,0.06152709,0.06326122,0.06546539,0.06728548,0.05901967,0.06701731,0.06769219,0.06526191,0.06102056,0.06409875,0.06478801,0.07480837,0.05223369,0.06941637,0.06541015,0.06342551,0.07474831,0.05607119,0.06093478,0.06142249,0.0596491,0.06163793,0.05674913,0.06425756,0.05853633,0.05880382,0.05987981,0.05238615,0.06598473,0.06019711,0.05310877,0.06069416,0.05533111,0.06270643,0.06090908,0.05286927,0.05804486,0.06007091,0.05575416,0.05479384,0.05966978,0.0599822,0.05766084,0.0595679,0.05991427,0.05820659,0.05432528,0.05324431,0.06216471,0.05600773,0.05959531,0.06138734,0.05855471,0.05655598,0.05101919,0.0590795,0.05322067,0.05511843,0.06325639,0.05252364,0.06012583,0.05576672,0.05912078,0.05981803
0.05412218,0.06031127,0.06286155,0.05782658,0.0558358,0.05465996,0.06108563,0.05323082,0.06722629,0.05233146,0.05959565,0.05679045,0.0572034,0.05810023,0.05455502,0.05713518,0.05902193,0.05770296,0.05686906,0.05818138,0.06303581,0.05656434,0.05146818,0.0572993,0.06304553,0.05501421,0.0620026,0.05928827,0.0523056,0.05077584,0.05628752,0.04871133,0.05905014,0.05179394,0.0525954,0.05510894,0.04859276,0.04738664,0.05477261,0.05583474,0.05322071,0.05161371,0.05766938,0.05130916,0.05465967,0.05555238,0.051368,0.05025912,0.0546856,0.05208577,0.05729252,0.05198532,0.05048685,0.05693511,0.04959934,0.05514755,0.05027328,0.05140822,0.05281799,0.0502475,0.0524447,0.05373584,0.04921207,0.05137861,0.04711335,0.06008078,0.05446244,0.05285699,0.05228735,0.05515904,0.05923138,0.0533991,0.04668354,0.04837013
0.05536479,0.05817714,0.05130187,0.05717499,0.05168659,0.05677322,0.06168682,0.0552781,0.05775088,0.04944972,0.06262287,0.05762371,0.05246271,0.05555934,0.05963467,0.06378278,0.05383424,0.05091528,0.05618036,0.05514127,0.04933346,0.06257675,0.05596999,0.048703,0.05841919,0.05555697,0.05624077,0.04955152,0.05447486,0.05155358,0.05571066,0.04918633,0.05593751,0.05538405,0.0473422,0.04977818,0.04954542,0.04804629,0.05336825,0.05049702,0.05513914,0.05380457,0.05709526,0.0574939,0.04929307,0.04993526,0.05532608,0.0484417,0.05625991,0.05352935,0.05899447,0.05023652,0.05255328,0.05752021,0.05156045,0.04816561,0.04542336,0.04820041,0.04518389,0.04709142,0.05259296,0.05685026,0.05438603,0.05213473,0.04467681,0.05712515,0.04889226,0.05647327,0.04796836,0.04829633,0.05493938,0.05119104,0.05604442,0.04616068
0.0570447,0.04704164,0.05043269,0.05071713,0.04277808,0.0524033,0.05103641,0.05439411,0.05919109,0.05302959,0.05257484,0.05209601,0.04822827,0.05652281,0.05152128,0.05504867,0.05712936,0.05290749,0.04918623,0.05755542,0.04817257,0.05159501,0.05474486,0.05536056,0.04723592,0.0501354,0.05406044,0.05025361,0.04927888,0.05330509,0.05183084,0.04810697,0.0468026,0.05110098,0.05067992,0.04993712,0.05287129,0.04757498,0.04703409,0.05219856,0.04476457,0.04692089,0.05482259,0.04278914,0.0491432,0.03944662,0.04523567,0.04403842,0.05333867,0.05060826,0.04647815,0.04315856,0.04215048,0.04769661,0.04642107,0.04925555,0.04430593,0.04211046,0.05045579,0.04852066,0.04509815,0.04784317,0.05232458,0.04621396,0.04664211,0.05333942,0.04699524,0.04553698,0.04331768,0.0490389,0.05094214,0.04375582,0.03746461,0.04415007
0.05879306,0.04783704,0.05313214,0.04488058,0.04920573,0.04506912,0.04677356,0.05040303,0.04856423,0.04981003,0.05576807,0.05301158,0.04780321,0.05211583,0.05375059,0.04246032,0.04769407,0.05342148,0.04997054,0.04558255,0.04723688,0.05237344,0.05230154,0.04670507,0.04362422,0.04483338,0.04728392,0.05209373,0.04473499,0.04563373,0.0425346,0.04278674,0.04209809,0.04831976,0.05222052,0.03667194,0.04935669,0.03645914,0.03807311,0.04601551,0.04467751,0.03792116,0.0432947,0.05203444,0.04639882,0.03949617,0.04533736,0.04725428,0.04333728,0.04242689,0.04713295,0.04530151,0.0523097,0.04272422,0.04637292,0.04583893,0.04786733,0.04815914,0.04272215,0.0488246,0.04752048,0.0450292,0.04564783,0.04753431,0.04416351,0.04514451,0.04141579,0.04409607,0.04807365,0.04589635,0.04918739,0.04868552,0.05007009,0.03927927
0.06022322,0.04892859,0.05206159,0.05168821,0.04968719,0.0465114,0.0482447,0.05206607,0.04856632,0.04698985,0.04923173,0.04887306,0.04362262,0.04740841,0.05309756,0.04703147,0.05069328,0.04984766,0.04882167,0.05131912,0.05433218,0.05359569,0.0466661,0.0553328,0.05247572,0.05043471,0.04983675,0.05008807,0.04491425,0.04428816,0.04817555,0.04744497,0.04689334,0.04162258,0.04714102,0.04241811,0.04679776,0.04673395,0.04179287,0.04745634,0.04794106,0.04150273,0.04553255,0.051428,0.04241461,0.0479852,0.05040354,0.04523308,0.04678886,0.0468752,0.04826137,0.04987204,0.04566854,0.04994893,0.04307495,0.04776891,0.04244248,0.04957881,0.04637779,0.052281,0.04990185,0.04699365,0.04547632,0.04660969,0.04962698,0.0436463,0.04538629,0.04639964,0.04724802,0.046439,0.04783912,0.04312978,0.04625307,0.04020089
0.06196445,0.04765435,0.04858386,0.04264278,0.04589118,0.03991165,0.04873455,0.04286398,0.04613972,0.04909769,0.04718056,0.04262295,0.04272261,0.0458926,0.04435296,0.04671519,0.04257024,0.03821307,0.03935872,0.04297522,0.04348332,0.04755169,0.04197511,0.04592034,0.05165611,0.04518758,0.03722226,0.04560094,0.03897601,0.04265475,0.05007958,0.04152501,0.03669557,0.04449589,0.04996228,0.04136358,0.03932501,0.03716365,0.04448658,0.04356753,0.04174913,0.03904468,0.04441192,0.04037382,0.03952852,0.04247996,0.04274906,0.04089395,0.03857703,0.04454856,0.0371802,0.03823908,0.04217296,0.03535059,0.04087858,0.04124619,0.04257489,0.03869625,0.03583374,0.04039546,0.0446181,0.0405028,0.03750684,0.0403056,0.04103436,0.04616567,0.03764831,0.04268161,0.04634525,0.03780958,0.04098358,0.03518579,0.04183992,0.0406254
0.0636066,0.04111725,0.04709871,0.04536941,0.04460285,0.04231998,0.0453157,0.04428049,0.0429458,0.04492133,0.04323011,0.0450565,0.03809985,0.04068438,0.04188703,0.0452456,0.04489733,0.04140488,0.04064719,0.04112465,0.04671875,0.04406737,0.0425077,0.04429621,0.04454951,0.04328468,0.04373759,0.03899609,0.04862343,0.04379149,0.04116335,0.043113,0.04185425,0.03519874,0.04142717,0.04033415,0.03841035,0.04290062,0.04064627,0.03975729,0.04311756,0.04269954,0.04228806,0.03825242,0.03648967,0.04039492,0.04368258,0.03798257,0.03424967,0.04033682,0.04263267,0.04350606,0.04715311,0.03848353,0.04173165,0.04647239,0.04040962,0.04353495,0.04068913,0.04446078,0.04077603,0.04097033,0.04369596,0.03753968,0.04076169,0.04254852,0.04175637,0.04193357,0.04597842,0.03995029,0.03913676,0.03859446,0.04213062,0.04634977
0.06529169,0.03972545,0.04226532,0.04026634,0.04140396,0.03811658,0.04589006,0.03977542,0.04122018,0.04282542,0.04225741,0.04349678,0.04018947,0.04367235,0.04606582,0.04226152,0.04555326,0.04247463,0.03907414,0.04228243,0.04267096,0.04029913,0.04221721,0.04436532,0.04660257,0.03836682,0.04076322,0.04183244,0.04031032,0.03707342,0.04079405,0.04138482,0.04372605,0.03866262,0.04355122,0.0415797,0.03865905,0.04332387,0.04250294,0.0408294,0.04177416,0.03505554,0.0348693,0.03788416,0.03954535,0.04356035,0.0380307,0.04065087,0.0401537,0.03322887,0.03894177,0.04059048,0.04182564,0.04015805,0.04010073,0.04024739,0.04290615,0.0371004,0.03852951,0.03551659,0.03925016,0.0426284,0.03866733,0.03631459,0.0389273,0.03865859,0.0388035,0.03568869,0.0356858,0.04074459,0.03877397,0.03928091,0.04107653,0.03570856
0.06721684,0.03991335,0.04217508,0.0384991,0.03579221,0.04139929,0.03994228,0.04354111,0.03812255,0.04474758,0.04309535,0.03939651,0.03526144,0.04220266,0.03984954,0.0420787,0.04464762,0.04080811,0.03780233,0.03832297,0.03916959,0.03589914,0.03961627,0.03736878,0.04106375,0.04064925,0.03765387,0.04454585,0.04063411,0.03753676,0.0382748,0.03729314,0.037094,0.03817094,0.04076972,0.04059564,0.03354529,0.03526663,0.04064727,0.04121692,0.03596426,0.03882815,0.03768147,0.0389597,0.03598682,0.03621276,0.03465888,0.03901667,0.03600554,0.03655244,0.03730917,0.03545523,0.03559482,0.0341528,0.03902475,0.03260248,0.04189529,0.03811163,0.04147433,0.0408742,0.03658971,0.04224067,0.03422567,0.03563801,0.03489446,0.03842489,0.04056507,0.0317116,0.03710097,0.03860614,0.03963479,0.03528991,0.03774718,0.03464892
