q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min
0.07107822,0.00387182,0.00391363,0.00387515,0.00389889,0.00388793,0.00391834,0.00387903,0.00393204,0.00391974,0.0039942
0.07293509,0.00442736,0.00449738,0.00446892,0.00448577,0.00444467,0.00450452,0.0044567,0.00444102,0.00452547,0.00447435
0.07497173,0.0039807,0.00396622,0.00402317,0.00400595,0.00395238,0.0039752,0.00394496,0.00396577,0.00401306,0.00399299
0.07666089,0.00387544,0.00393956,0.00391348,0.00398139,0.00392781,0.00398395,0.00391267,0.00395135,0.00391682,0.00402008
0.07863461,0.00406434,0.00409302,0.00413308,0.00413078,0.00409772,0.00413451,0.00406487,0.00410055,0.00414666,0.0041501
0.08065245,0.00353036,0.00359063,0.00357364,0.00362652,0.00359282,0.0036091,0.00357167,0.003613,0.00359965,0.00361543
0.08248929,0.00373985,0.00370981,0.00370404,0.00374368,0.00370722,0.00376903,0.00371702,0.00373047,0.00373511,0.00372688
0.0846544,0.00388185,0.00388917,0.00390478,0.00393046,0.00385805,0.00395658,0.0038731,0.00388438,0.00390283,0.0038926
0.0866059,0.00321359,0.003204,0.00321728,0.00326084,0.00321224,0.00327205,0.0032066,0.00324939,0.00324842,0.00320421
0.08871885,0.00355343,0.0035339,0.00358168,0.00359521,0.0035418,0.00359168,0.00354301,0.00355841,0.00357882,0.00361356
0.09085082,0.00316495,0.00313644,0.00312107,0.00318329,0.00314854,0.0031783,0.00313128,0.0031842,0.00315079,0.003175
0.09286153,0.00329066,0.00330601,0.00329673,0.00331655,0.00327204,0.00328631,0.00328721,0.00327703,0.0033257,0.0033133
0.09525239,0.00332541,0.00336548,0.00332264,0.00336285,0.00335475,0.00339574,0.00333777,0.00333796,0.00336864,0.00334903
0.09727187,0.00290319,0.00291974,0.00292417,0.00295885,0.00293858,0.00294791,0.00290993,0.00291918,0.00294273,0.00292792
0.09955427,0.00322141,0.00319389,0.00318833,0.00325342,0.00320861,0.00324034,0.00320886,0.0032096,0.00321969,0.00324881
0.1018669,0.00271373,0.00272847,0.00272551,0.0027473,0.0027151,0.00274949,0.0027098,0.00271019,0.0027267,0.002738
0.10424991,0.00298981,0.00300777,0.00296183,0.00302799,0.00298793,0.0029807,0.00298514,0.00298395,0.00299816,0.00300493
