q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min,240 min,245 min,250 min,255 min,260 min,265 min,270 min,275 min,280 min,285 min,290 min,295 min,300 min,305 min,310 min,315 min,320 min,325 min,330 min,335 min,340 min,345 min,350 min,355 min,360 min,365 min
0.00774356,0.03538803,0.03468678,0.03534151,0.03564173,0.03536893,0.03542651,0.03605731,0.03555315,0.03585607,0.03678515,0.03630896,0.03612177,0.03691488,0.037334,0.03740073,0.03745729,0.03802496,0.03864387,0.03890464,0.04033241,0.04040252,0.04097849,0.04210935,0.04389302,0.04358931,0.04435872,0.04361465,0.04198498,0.04073199,0.03888907,0.0370285,0.03628037,0.03483246,0.03419886,0.03294422,0.03196712,0.03182471,0.03143018,0.03084085,0.03081135,0.03018395,0.03020797,0.03005126,0.03013909,0.02941935,0.03031063,0.0291695,0.02894803,0.0289203,0.02903181,0.02891224,0.02885988,0.02859842,0.02880845,0.02866772,0.02845781,0.02864538,0.02862333,0.02911371,0.02855416,0.02851948,0.02877244,0.0292451,0.02903812,0.02916335,0.02926661,0.029156,0.02913346,0.0290414,0.0296588,0.02925326,0.0295874,0.03972925
0.00819079,0.03538501,0.03585573,0.03522038,0.03595245,0.03672533,0.03659954,0.03655716,0.03698145,0.0367538,0.03719204,0.03648279,0.03652777,0.03698409,0.03774505,0.03696263,0.0385937,0.03784979,0.03917616,0.03956977,0.04019031,0.04092036,0.04182355,0.04310292,0.04451177,0.04520771,0.04455689,0.04346893,0.0421488,0.04111576,0.03952406,0.03795544,0.037055,0.03519605,0.03492182,0.03377062,0.03294898,0.03269729,0.03243999,0.03167451,0.03155349,0.0311688,0.03057505,0.03045443,0.03037171,0.03048636,0.03006729,0.03027656,0.02975858,0.02981012,0.02938665,0.03009637,0.02936163,0.0289569,0.02928379,0.02945001,0.02922113,0.02933201,0.02911867,0.0293147,0.02891313,0.02894062,0.02936176,0.02849492,0.02909842,0.02967154,0.02891242,0.02901013,0.0292989,0.03018649,0.02948547,0.02998006,0.03001204,0.04272236
0.00861767,0.03260994,0.03204367,0.03194159,0.0331692,0.03261528,0.03279167,0.03288263,0.03276514,0.03319439,0.03336676,0.03342925,0.03351794,0.03386921,0.0348572,0.03460454,0.03515298,0.03495388,0.03511422,0.03617706,0.03695663,0.0378647,0.03749633,0.03830536,0.0398619,0.0406801,0.04012989,0.03953435,0.03816431,0.03741878,0.03595351,0.03437213,0.03371392,0.03231694,0.03181163,0.03051079,0.03023673,0.02953979,0.02964136,0.02944451,0.02869955,0.02806954,0.02810534,0.02788319,0.02780218,0.02748242,0.02723305,0.02765187,0.02722745,0.02752651,0.02685062,0.02707162,0.02699008,0.02670473,0.02599137,0.02680995,0.02631789,0.02630639,0.02593795,0.02665487,0.02622862,0.02626161,0.02669753,0.02645198,0.02619891,0.02700229,0.02629827,0.02722944,0.02681441,0.02727691,0.0271311,0.02757438,0.0277163,0.03726323
0.00903622,0.0321419,0.03172159,0.03249405,0.03246745,0.03263191,0.03229953,0.03337519,0.03342032,0.03352062,0.03348715,0.03306977,0.03387598,0.03384666,0.03502595,0.03424587,0.03481803,0.03519909,0.03598969,0.03631612,0.03675999,0.03760902,0.03791244,0.03939736,0.03995903,0.04023945,0.04067853,0.0401388,0.03888161,0.03791525,0.03640548,0.03486855,0.03397619,0.03218255,0.03234099,0.03063654,0.03101699,0.03041296,0.02971415,0.02915969,0.0289099,0.02834157,0.02876928,0.0280532,0.02754422,0.02822119,0.02780559,0.02721314,0.02742218,0.02707696,0.02676218,0.02725846,0.0273756,0.02641947,0.0270385,0.0270408,0.02748024,0.02669655,0.02686281,0.02702183,0.02636592,0.0277088,0.02649642,0.02672108,0.02696415,0.02664625,0.02687722,0.02677832,0.02653089,0.02674986,0.02708822,0.02759839,0.02786212,0.03867982
0.00945156,0.02977981,0.02894225,0.02928993,0.02913404,0.02945242,0.02964682,0.02983303,0.02973293,0.03039519,0.0306174,0.03021768,0.03027382,0.03076022,0.03097552,0.03134176,0.03181237,0.03180938,0.03195539,0.03263259,0.03347894,0.03355083,0.03424686,0.0348659,0.03622352,0.03620615,0.03614473,0.03557165,0.03470102,0.0342969,0.03239672,0.03202797,0.03080795,0.0299478,0.02917513,0.02811036,0.02781969,0.02748733,0.02664091,0.02643453,0.02658918,0.02612365,0.02597056,0.0260061,0.02606434,0.02569888,0.025227,0.02516609,0.02511585,0.02514934,0.02507415,0.02461428,0.02457042,0.02448162,0.02477334,0.0248913,0.024655,0.02434594,0.02447938,0.02398463,0.02411631,0.02468204,0.02469394,0.02404805,0.02458206,0.02472403,0.02480684,0.02439578,0.02458795,0.02466517,0.02473964,0.02475634,0.02500318,0.03447892
0.00990796,0.02639802,0.02669685,0.02664082,0.02656502,0.02687799,0.0276425,0.02738595,0.02724363,0.02733643,0.02747129,0.02733848,0.02751129,0.02788188,0.02802443,0.02804007,0.02873508,0.02879065,0.0293258,0.02966638,0.03003668,0.03030298,0.03050653,0.03191324,0.03258707,0.03266339,0.03257952,0.03246534,0.03173297,0.03066878,0.03015373,0.02856605,0.02787668,0.02656981,0.02649724,0.02590452,0.02541819,0.02499948,0.02477685,0.02481515,0.02439224,0.02388514,0.02386369,0.02348852,0.02350579,0.02381434,0.0229243,0.02318146,0.02291348,0.02277327,0.02279214,0.02298384,0.02255425,0.02230247,0.02245429,0.02273275,0.02256378,0.02237584,0.02255845,0.0223618,0.02234855,0.02279156,0.02197232,0.02302024,0.02282792,0.02281607,0.0223509,0.02217205,0.02269518,0.0229935,0.02277411,0.02305621,0.02314942,0.03247417
0.01037365,0.02545348,0.02595657,0.02593791,0.02602996,0.02590023,0.02609081,0.02685118,0.0260254,0.02634897,0.0267735,0.02694923,0.02677053,0.02686415,0.02709605,0.02719053,0.02752052,0.02760294,0.02803501,0.02841806,0.02892452,0.02944652,0.02943015,0.03022118,0.03172785,0.03159804,0.03190857,0.03162693,0.03069912,0.02981652,0.02875872,0.02825284,0.02762365,0.02651461,0.02573009,0.02519818,0.02463987,0.02403021,0.02414308,0.02414811,0.02377665,0.02366806,0.02305827,0.02290179,0.02318782,0.02273287,0.02283171,0.02247152,0.02223476,0.02245779,0.02275459,0.02203566,0.02238253,0.02217089,0.02232004,0.02223642,0.02215429,0.02216074,0.02218751,0.02228711,0.02205388,0.02213177,0.02147563,0.02245389,0.02188747,0.02185933,0.02227764,0.02202791,0.02237468,0.02240385,0.0226401,0.02287492,0.02232701,0.03048288
0.01081903,0.0247135,0.02481392,0.02538435,0.02499545,0.02510916,0.02545697,0.02566725,0.02574521,0.02588473,0.02584403,0.02573674,0.0259872,0.02640675,0.02637185,0.02671575,0.02690738,0.02712189,0.02736966,0.02726787,0.02852792,0.02872336,0.02858658,0.02993193,0.03012515,0.03078282,0.03047059,0.03074792,0.02969919,0.02925979,0.02831707,0.02755001,0.02687802,0.0265009,0.02551808,0.02491528,0.02455606,0.02395582,0.02362073,0.02370928,0.02372985,0.02333951,0.02337266,0.02299489,0.02287873,0.02310521,0.02261166,0.02247609,0.0222218,0.02240335,0.02223215,0.02224444,0.02199148,0.02177549,0.02198881,0.02231069,0.02173556,0.02217049,0.02160359,0.02181992,0.0217904,0.02183689,0.02179319,0.02167335,0.02169345,0.02190394,0.02169247,0.02181032,0.02206247,0.02226838,0.02171982,0.02180211,0.02193081,0.03023843
0.01125599,0.02347979,0.02378811,0.02374357,0.02351149,0.02410614,0.02458643,0.02409772,0.02429589,0.02457556,0.02480709,0.02429655,0.02452987,0.02519077,0.02492726,0.02500636,0.02543096,0.02580846,0.02556154,0.02617679,0.0268432,0.02726348,0.02682987,0.02835155,0.02849749,0.02908063,0.02892072,0.0288292,0.02791826,0.02795121,0.02739614,0.02592899,0.02543704,0.02455263,0.02462203,0.02365206,0.02362581,0.02310337,0.02299881,0.02245059,0.02267397,0.02200297,0.0223878,0.0219861,0.02207622,0.02168233,0.02197911,0.02162004,0.0214027,0.02168989,0.02107495,0.02145479,0.02105663,0.02110282,0.02120025,0.02137641,0.02085772,0.02126521,0.02124827,0.0212065,0.02075522,0.0214261,0.02080655,0.02146157,0.02102526,0.02074036,0.02123862,0.02063317,0.02084614,0.02130769,0.02104634,0.02157258,0.02147868,0.02871351
0.01169877,0.02221354,0.02250617,0.02259651,0.0228085,0.02257837,0.02303563,0.02305331,0.02284958,0.02304905,0.02324568,0.02355498,0.02323761,0.02372249,0.02419899,0.02370228,0.02455093,0.02420532,0.02470716,0.02460956,0.02566515,0.02563928,0.02569353,0.02649148,0.02726383,0.02725054,0.02756953,0.02720056,0.02665272,0.02697052,0.0260522,0.02499001,0.02453039,0.02351569,0.02325974,0.0228146,0.02245306,0.0226979,0.0221277,0.02214409,0.02178343,0.02170882,0.02153652,0.02129884,0.0214921,0.02120045,0.02100458,0.02106018,0.02063833,0.02104092,0.02069388,0.0206528,0.02077847,0.02082603,0.02074688,0.02067425,0.02012615,0.02025583,0.02026598,0.02037712,0.02018635,0.02029152,0.02053106,0.0201006,0.02041226,0.02022107,0.02026388,0.02030301,0.02041132,0.02021633,0.02027453,0.02057359,0.0203153,0.02805033
